country,group,SDG.Index.Score,AMS
Argentina,4,72.7,-2.137548864
Bolivia,4,68.7,2.02585268
Brazil,4,72.9,1.018518361
Bulgaria,5,74.7,-4.712628603
Chile,4,77.4,-4.963992596
China,5,71.6,0.421711423
Colombia,4,69.4,5.15456454
Ecuador,4,70.2,0.993014634
Greece,5,77.8,-6.141718388
Hungary,5,79.6,-7.727729321
India,2,62.6,7.024728179
Indonesia,4,69.2,3.510937288
Iran,3,68.9,-2.199892789
Mexico,4,69.1,-2.680628002
Nepal,2,66.3,2.4284309
Nigeria,1,53.3,3.232201338
Pakistan,2,58.6,-12.18239594
Paraguay,4,68.7,2.049139667
Peru,4,70.4,1.07177496
Philippines,4,66.4,4.744897127
Portugal,5,79.7,-9.308691025
South Africa,4,63.8,-2.131501913
South Korea,5,77.8,-5.372886181
Spain,5,80,-6.722114921
Thailand,5,73.8,3.689568241
Turkey,5,70.6,-3.737157444
Uruguay,4,77.2,0.958343049
USA,5,75.6,0.675725877
Venezuela,4,61.1,5.803257942
Vietnam,3,71.8,4.522601223
