,study,MAT,MAP,AI,BD,sand,clay,SOC,CN,pH,soil.biodiversity,MBC,FBratio,cropland.type,Nrate,OF2,tillage,irrigation,type,application,richness,duration,cover.days,terminate.time,yield,SOCrr,N2O,CH4,MWD,AMS,climate,soil,microbe,agriculture,CC,type
1,2,26.94166565,745,0.3377,1.506,52.5,26.5,6,8.631043832,8.2,0.677484393,101.3389969,3.477063894,paddy,140,1,1,2,1,1,1,1,60,24,0.132578467,0.013913206,0.440507318,0.193051244,0.25120903,0.021212382,0.098202865,-0.111297128,0.056116114,0.007409383,0.021774077,legume
2,2,26.94166565,745,0.3377,1.506,52.5,26.5,6,8.631043832,8.2,0.677484393,101.3389969,3.477063894,paddy,140,1,1,2,1,1,1,1,83,1,0.110344293,0.01336964,0.476845032,0.208984722,0.254906439,0.009498495,0.098202865,-0.111297128,0.056116114,0.007409383,0.015744771,non-legume
3,2,26.94166565,745,0.3377,1.476,52.5,26.5,6,9.566859663,8.2,0.677484393,101.3389969,3.477063894,paddy,140,1,1,2,1,1,1,1,60,24,0.108538745,0.008874259,0.450370502,0.200072272,0.184637035,0.002650495,0.098202865,-0.108316665,0.056116114,0.007409383,0.021774077,non-legume
4,2,26.94166565,745,0.3377,1.476,52.5,26.5,6,9.566859663,8.2,0.677484393,101.3389969,3.477063894,paddy,140,1,1,2,1,1,1,1,83,1,0.089216791,0.007989,0.485689884,0.216015455,0.185806489,-0.008427672,0.098202865,-0.108316665,0.056116114,0.007409383,0.015744771,mixture
5,27,17.1,1500,1.1827,1.06,25.125,31,19.66357309,9.734442124,5.4,0.458178043,70.47419739,2.852268696,paddy,225,1,2,3,2,2,1,1,192,19,0.050029019,0.04781186,0.204604784,0.60230775,0.030603196,-0.064602395,0.093260706,-0.117489013,0.041320675,-0.013206157,-0.014737591,mixture
6,27,17.1,1500,1.1827,1.06,25.125,31,19.66357309,9.734442124,5.4,0.458178043,70.47419739,2.852268696,paddy,225,1,2,3,1,2,1,1,192,19,0.057021726,0.047194502,0.22799292,0.564039206,0.018314356,-0.059542114,0.093260706,-0.117489013,0.041320675,-0.013206157,-0.005567093,mixture
7,27,17.1,1500,1.1827,1.06,25.125,31,19.66357309,9.734442124,5.4,0.458178043,70.47419739,2.852268696,paddy,225,1,1,3,2,1,1,1,187,7,0.051503234,0.058969215,0.306646442,0.573884749,0.016184268,-0.063603836,0.093260706,-0.117489013,0.041320675,0.000811805,-0.013731845,mixture
8,27,17.1,1500,1.1827,1.06,25.125,31,19.66357309,9.734442124,5.4,0.458178043,70.47419739,2.852268696,paddy,225,1,2,3,2,2,1,1,187,7,0.051842894,0.05172101,0.254875916,0.590851972,0.034548485,-0.063495863,0.093260706,-0.117489013,0.041320675,-0.013206157,-0.014502018,legume
9,28,17.05,1475,1.1766,1.16,21.2,40.4,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,150,1,1,3,2,1,1,8,185,15,0.057274779,0.074483651,0.558655476,0.666453244,0.129866675,-0.072705459,0.094205633,-0.140311797,0.041340528,0.00640253,-0.007114437,non-legume
10,28,17.05,1475,1.1766,1.16,21.2,40.4,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,150,1,1,3,2,1,1,8,185,15,0.057274779,0.074483651,0.558655476,0.666453244,0.129866675,-0.072705459,0.094205633,-0.140311797,0.041340528,0.00640253,-0.007114437,non-legume
11,28,17.05,1475,1.1766,1.16,21.2,40.4,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,150,1,1,3,2,1,1,9,176,15,0.057716087,0.078209379,0.574978133,0.66361566,0.132024213,-0.07156669,0.094205633,-0.140311797,0.041340528,0.00640253,-0.004508102,mixture
12,28,17.05,1475,1.1766,1.16,21.2,40.4,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,150,1,1,3,2,1,1,9,176,15,0.057716087,0.078209379,0.574978133,0.66361566,0.132024213,-0.07156669,0.094205633,-0.140311797,0.041340528,0.00640253,-0.004508102,mixture
13,28,17.05,1475,1.1766,1.107,14.25,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,150,1,1,3,2,1,1,8,185,15,0.054730321,0.082045265,0.775044148,0.658391556,0.137914689,-0.081717769,0.094205633,-0.131411293,0.041340528,0.00640253,-0.007114437,mixture
14,28,17.05,1475,1.1766,1.107,14.25,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,150,1,1,3,1,1,1,8,185,15,0.060469598,0.086982867,0.834427411,0.588418973,0.134307993,-0.07163368,0.094205633,-0.131411293,0.041340528,0.00640253,0.002056061,mixture
15,28,17.05,1475,1.1766,1.107,14.25,36,13.3,9.109589041,5.4,0.459406704,70.47419739,2.852268696,paddy,150,1,1,3,2,1,1,9,176,15,0.055181849,0.086170803,0.785654479,0.655387465,0.139619772,-0.08011864,0.094205633,-0.131411293,0.041340528,0.00640253,-0.004508102,legume
