"","study","MAT","MAP","AI","BD","sand","clay","SOC","CN","pH","soil.biodiversity","MBC","FBratio","cropland.type","Nrate","OF2","tillage","irrigation","type","application","richness","duration","cover.days","terminate.time","yield","SOCrr","N2O","CH4","MWD","AMS","climate","soil","microbe","agriculture","CC"
"1","1",12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,1,3,1,13,131,83,-0.0256542221120517,0.0423769261675079,0.461573142942668,0.23262735855771,0.0994892222960128,0.163870644010771,0.00878424514359369,-0.547207915447974,0.0523394506971996,-0.064973696767858,0.178385537182729
"2","1",12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,2,2,1,13,92,122,-0.0080877521467496,0.0331075650561256,0.406475155051611,0.227829712219929,0.176071791081107,0.330086377565732,0.00878424514359369,-0.547207915447974,0.0523394506971996,-0.064973696767858,0.141326739463308
"3","1",12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,2,3,1,13,92,122,-0.00746899681740546,0.0359745530492358,0.43166486529152,0.227829712219929,0.138439334067115,0.252799056386192,0.00878424514359369,-0.547207915447974,0.0523394506971996,-0.064973696767858,0.163506878049788
"4","1",12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,2,3,13,92,122,-0.022334713873533,0.0261863391852259,0.47210821792693,0.21800902537568,0.153861372405354,0.273655118503369,0.00878424514359369,-0.547207915447974,0.0523394506971996,-0.064973696767858,0.128302692501099
"5","1",12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,3,3,13,92,122,-0.0232434626121166,0.0298045351942712,0.490576911278354,0.21800902537568,0.139315535301383,0.243303714617255,0.00878424514359369,-0.547207915447974,0.0523394506971996,-0.064973696767858,0.15048283108758
"6","1",12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,2,6,13,92,122,-0.0300921164050314,0.0294578750052119,0.475358748858263,0.230080788873404,0.0937128766858017,0.146738366907117,0.00878424514359369,-0.547207915447974,0.0523394506971996,-0.064973696767858,0.131680611617572
"7","1",12.47916603,489,0.2525,1.512,35.375,24.625,7.987470998,10.54918081,7.562,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,3,3,6,13,92,122,-0.0324670363415292,0.0335490374142296,0.493814975624325,0.230080788873404,0.0886598629263979,0.135175999356962,0.00878424514359369,-0.547207915447974,0.0523394506971996,-0.064973696767858,0.153860750204053
"8","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,1,3,1,13,131,83,-0.0305209329056343,0.0407962332620693,0.493255717726871,0.237435586614097,0.0982943203460259,0.156911122986992,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.178385537182729
"9","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,2,2,1,13,92,122,-0.0139542710160366,0.0330088141228445,0.414114989598564,0.233466926551279,0.197260674781386,0.369835429875589,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.141326739463308
"10","1",12.47916603,489,0.2525,1.502,35.75,24.25,7.178788348,10.98124757,7.522,0.431482762,82.35939789,3.86562252,"upland",0,1,2,1,2,3,1,13,92,122,-0.0152006062522201,0.0351438478623141,0.437202911374314,0.233466926551279,0.149878368564409,0.271660820539438,0.00878424514359369,-0.540142366137775,0.0523394506971996,-0.064973696767858,0.163506878049788
