ID,study,layer2,SOC,rrSOC,varSOC,depth2,SOC2,pH4,pH3
1,1,0-10,7.987470998,0.05487661,0.003273252,7.5,low,alkaline,7.562
2,1,0-10,7.987470998,0.020305266,0.003273252,7.5,low,alkaline,7.562
3,1,0-10,7.987470998,0.059719235,0.003273252,7.5,low,alkaline,7.562
4,1,0-10,7.987470998,-0.025975486,0.003273252,7.5,low,alkaline,7.562
5,1,0-10,7.987470998,-0.015504187,0.003273252,7.5,low,alkaline,7.562
6,1,0-10,7.987470998,0.015267472,0.003273252,7.5,low,alkaline,7.562
7,1,0-10,7.987470998,0.092976456,0.003273252,7.5,low,alkaline,7.562
8,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
9,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
10,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
11,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
12,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
13,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
14,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
15,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
16,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
17,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
18,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
19,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
20,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
21,1,0-10,7.178788348,,,2.5,low,alkaline,7.522
22,2,0-10,6,,,7.5,low,alkaline,8.2
23,2,0-10,6,,,7.5,low,alkaline,8.2
24,2,10-30,6,,,22.5,low,alkaline,8.2
25,2,10-30,6,,,22.5,low,alkaline,8.2
26,3,0-10,8.41067285,-0.002077475,0.004364336,7.5,low,alkaline,8
27,3,0-10,8.41067285,-0.072085318,0.004364336,7.5,low,alkaline,8
28,3,0-10,8.41067285,-0.084015629,0.004364336,7.5,low,alkaline,8
29,3,0-10,8.41067285,0.014023501,0.004364336,7.5,low,alkaline,8
30,3,0-10,8.41067285,-0.007621601,0.004364336,7.5,low,alkaline,8
31,3,0-10,8.41067285,-0.058254735,0.004364336,7.5,low,alkaline,8
32,3,0-10,8.41067285,0.087289735,0.004364336,7.5,low,alkaline,8
33,4,0-10,16.08315545,,,7.5,moderate,alkaline,5.83
34,4,0-10,16.08315545,,,7.5,moderate,alkaline,5.83
35,4,0-10,16.08315545,,,7.5,moderate,alkaline,5.83
36,4,0-10,16.08315545,,,7.5,moderate,neutral,5.83
37,4,0-10,16.08315545,,,7.5,moderate,neutral,5.83
38,4,0-10,16.08315545,,,7.5,moderate,neutral,5.83
39,4,0-10,16.08315545,,,7.5,moderate,neutral,5.83
40,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
41,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
42,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
43,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
44,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
45,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
46,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
47,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
48,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
49,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
50,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
51,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
52,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
53,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
54,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
55,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
56,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
57,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
58,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
59,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
60,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
61,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
62,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
63,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
64,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
65,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
66,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
67,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
68,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
69,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
70,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
71,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
72,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
73,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
74,4,0-10,16.08315545,,,7.5,moderate,acid,5.83
75,5,0-10,18.76879071,,,7.5,high,neutral,6.55
76,5,10-30,17.53257541,,,22.5,high,neutral,6.772
77,6,0-10,10.60511988,0.212058719,0.003273252,3.75,moderate,acid,7.45
78,6,0-10,10.60511988,0.284019581,0.003273252,3.75,moderate,acid,7.45
79,6,10-30,12.16292343,0.0411218,0.003273252,11.25,moderate,acid,7.08
80,6,10-30,12.16292343,0.026628792,0.003273252,11.25,moderate,acid,7.08
81,7,0-10,20.78537355,,,10,high,neutral,6.38
82,7,0-10,20.78537355,,,10,high,neutral,6.38
83,8,0-10,6.0738255,,,10,low,acid,6
84,8,0-10,6.0738255,,,10,low,acid,6
85,8,0-10,6.0738255,,,10,low,acid,6
86,8,0-10,6.0738255,,,10,low,acid,6
87,8,0-10,6.0738255,,,10,low,acid,6
88,8,0-10,6.0738255,,,10,low,acid,6
89,8,0-10,6.0738255,,,10,low,acid,6
90,8,0-10,6.0738255,,,10,low,acid,6
91,8,0-10,6.0738255,,,10,low,acid,6
92,8,0-10,6.0738255,0.150433203,0.003273252,10,low,acid,6
93,8,0-10,6.0738255,0.098845835,0.003273252,10,low,acid,6
94,8,0-10,6.0738255,0.127833372,0.003273252,10,low,acid,6
95,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
96,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
97,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
98,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
99,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
100,9,0-10,15.0812065,,,3.5,moderate,acid,7.5
101,10,0-10,12.18097448,,,3.5,moderate,acid,7.1
102,10,0-10,12.18097448,,,3.5,moderate,acid,7.1
103,10,0-10,12.18097448,,,3.5,moderate,acid,7.1
104,11,0-10,19,,,10,high,neutral,7.8
105,11,0-10,19,,,10,high,neutral,7.8
106,12,0-10,12.15396288,0.046520016,0.00248988,10,moderate,acid,7.686666667
107,12,0-10,12.15396288,0,0.001927438,10,moderate,acid,7.686666667
108,12,0-10,12.15396288,0,0.00138322,10,moderate,acid,7.686666667
109,12,0-10,12.15396288,0.174353387,0.003120327,10,moderate,acid,7.686666667
110,12,0-10,12.15396288,0.046520016,0.001560128,10,moderate,acid,7.686666667
111,12,0-10,12.15396288,0,0.001179138,10,moderate,acid,7.686666667
112,12,0-10,12.15396288,0.090971778,0.001496856,10,moderate,acid,7.686666667
113,12,0-10,12.15396288,0,0.00094518,10,moderate,acid,7.686666667
114,12,0-10,12.15396288,-0.044451763,0.000989119,10,moderate,acid,7.686666667
115,12,0-10,12.15396288,0,0.000775047,10,moderate,acid,7.686666667
116,12,0-10,12.15396288,0.042559614,0.000489951,10,moderate,acid,7.686666667
