"","MAOC.ck","MAOC.csd","MAOC.cn","MAOC.t","MAOC.tsd","MAOC.tn","yi","vi"
"1",11,0.8,4,12.6,1,4,0.135801541159062,0.00289701800524311
"2",4.88,0.29883656,4,7.27,0.41076227,4,0.398611071680372,0.0017355832925
"3",4.88,0.29883656,4,7.71,0.43562271,4,0.457372967710182,0.0017355832925
"4",5.04,0.30863448,4,4.98,0.28137498,4,-0.0119761910467156,0.0017355832925
"5",5.04,0.30863448,4,7.23,0.40850223,4,0.360832954087396,0.0017355832925
"6",3.11,0.19044707,4,3.78,0.21357378,4,0.195101283440354,0.0017355832925
"7",3.11,0.19044707,4,3.71,0.20961871,4,0.176409150428201,0.0017355832925
"8",1.75,0.10716475,4,2.39,0.13503739,4,0.311677578007997,0.0017355832925
"9",1.75,0.10716475,4,2.48,0.14012248,4,0.348642772241468,0.0017355832925
"10",8.3,1.43,4,7.5,1.16,4,-0.101352494260288,0.0134013328172126
"11",12.5,1.7,4,14.4,0.4,4,0.1414995622737,0.0048169012345679
"12",11.5,1.2,4,10.4,1.2,4,-0.100541229221877,0.00605051956913234
"13",13.3,2.1,4,14.1,1.3,4,0.0584107621564145,0.00835783159104149
"14",3.14,0.02,4,3.16,0.07,4,0.00634922767865874,0.000132819053668286
"15",3.33,0.09,4,3.77,0.23,4,0.124102697467567,0.00111310776888089
"16",2.98,0.07,4,2.98,0.04,4,0,0.000182987252826449
"17",3.16,0.1,4,3.6,0.19,4,0.130361817863244,0.000946733975937696
"18",3.6,0.12,4,3.96,0.12,4,0.0953101798043247,0.000507346189164371
"19",3.38,0.04,4,3.64,0.14,4,0.074107972153722,0.000404835264871678
"20",NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA
"28",3.19,0.07,3,4.72,0.13,3,0.391787882800711,0.000413367576415312
"29",4.13,0.11,3,4.1,0.01,3,-0.00729043326267934,0.000238446391559821
"30",4.6,0.15,3,3.57,0.13,3,-0.253490707703502,0.000796449212152089
"31",35.4,2.16534032,3,34.72,1.96171472,3,-0.0193959303475793,0.00231128781633387
"32",35.4,2.16534032,3,27.04,1.52778704,3,-0.269394568964965,0.00231128781633387
"33",34.6,2.11635072,3,37.12,2.09731712,3,0.0703022258543212,0.00231122257685458
