ID,study,experimental.history (yr),rrMWD,varMWD
2040,192,46,0.003454235,0.000381818
2041,192,46,-0.006734032,0.000330379
2042,192,46,-0.013378126,0.001266382
2043,192,46,0.023065273,0.00011061
2044,192,46,0.026202372,0.017571592
2045,192,46,-0.008163311,0.007214498
2046,192,46,0.15800425,0.004159234
2047,192,46,0.048009219,0.015361045
2048,192,46,0.030962226,0.00071693
2049,192,46,0.024170361,0.000600819
2050,192,46,0.041922306,0.000448796
2051,192,46,0.069999414,0.000336519
2052,192,46,-0.030771659,0.004338092
2053,192,46,0.021353124,0.005432163
2054,192,46,0.129677823,0.003868586
2055,192,46,0.149745386,0.002524897
2056,192,46,0.045853305,0.001989982
2057,192,46,0.011764841,0.000862292
2058,192,46,0.039330912,0.001455462
2059,192,46,0.025246783,0.001589543
2060,192,46,0.035339367,0.004380349
2061,192,46,0.033225647,0.003774904
2062,192,46,0.088192712,0.005163265
2063,192,46,0.097797744,0.001715079
1938,5,38,0.668145878,0.00824107
75,5,36,0.016584128,0.000550155
76,5,36,0.065534041,0.001455783
2159,207,36,-0.105360516,0.039725652
2160,207,36,-0.109199292,0.012180836
2161,207,36,0.060624622,0.046766869
2162,207,36,0.023530497,0.035571106
158,19,35,0.193681519,0.004776171
159,19,35,0.200304059,0.004504738
160,19,35,0.258694536,0.003362405
161,19,35,0.129356021,0.005226205
2147,202,31,0.274905486,0.00824107
2148,203,31,0.179340929,0.00824107
2149,203,31,0.249034965,0.00824107
1003,107,27,0.080567898,0.000936531
1004,107,27,0.162616486,0.000486237
1005,107,27,0.04015836,0.000532051
2064,193,16,0.349184272,0.008462817
2065,193,16,0.641090819,0.025473125
2066,193,16,0.320167528,0.00054412
2067,193,16,0.077386663,0.008908236
2068,193,16,0.550046338,0.004499408
2069,193,16,0.554996841,0.001383518
77,6,15,0.592559944,0.008243749
78,6,15,0.589910935,0.008237408
79,6,15,0.212258311,0.008231742
80,6,15,0.050010421,0.008241034
294,31,15,0.267062786,0.005150984
295,31,15,0.059719235,0.001829228
296,31,15,0.045809535,0.049259591
297,31,15,0.112795494,0.038257799
2123,199,15,0.22054277,0.00824107
2124,199,15,0.236046956,0.00824107
2125,199,15,0.014815086,0.00824107
2126,199,15,-0.053652713,0.00824107
2127,199,15,0.249737141,0.00824107
2128,199,15,0.444867656,0.00824107
2129,199,15,0.080538862,0.00824107
2130,199,15,0.244841914,0.00824107
2034,72,14,0.203427688,0.010988094
2035,72,14,0.150244874,0.010988094
2036,72,14,0.121945766,0.010988094
2037,72,14,0.212287926,0.010988094
2038,72,14,0.084652885,0.010988094
2039,72,14,0.122961711,0.010988094
8,1,13,-0.160550702,0.00824107
9,1,13,0.206741833,0.00824107
10,1,13,0.009523882,0.00824107
11,1,13,0.150727191,0.00824107
12,1,13,0.014252023,0.00824107
13,1,13,-0.138327565,0.00824107
