x,y,Total_Cu,Total_Fe,Total_Mn,Total_Zn,Total_Co ,Total_Ni ,Micronutrient
126.044722,41.735278,12.726311,29370.570845,739.473073,127.594002,10.413085,22.981490,30283.758806
126.044722,41.735278,13.231544,28524.154640,599.565495,112.970641,11.142960,20.942680,29282.007960
126.044722,41.735278,16.673562,35564.871131,659.098806,144.400103,11.465667,23.893625,36420.402896
127.442500,42.275278,12.908014,29472.276312,1037.354459,76.057418,14.418176,24.397646,30637.412026
127.442500,42.275278,12.629252,36692.260418,932.563493,86.449462,17.976899,25.637739,37767.517263
127.442500,42.275278,15.519685,26388.770212,659.423657,78.821638,13.610877,24.341412,27180.487481
129.463611,42.840556,8.893608,17938.295443,806.287180,50.657137,8.865279,19.151410,18832.150057
129.463611,42.840556,4.189752,13849.022732,304.135410,38.145774,7.911587,17.007595,14220.412851
129.463611,42.840556,7.716729,17925.446522,746.114671,46.648732,8.895315,18.288575,18753.110544
128.237500,43.338889,11.944163,27807.142491,1287.312674,78.789914,12.056152,22.638611,29219.884005
128.237500,43.338889,11.024828,29930.155544,1775.234114,72.719421,12.136544,24.731768,31826.002219
128.237500,43.338889,7.531392,20252.210354,687.706952,63.601553,9.393688,15.439110,21035.883050
126.606667,43.877778,14.507911,22885.450145,709.846483,97.828591,10.094142,21.445067,23739.172339
126.606667,43.877778,13.133164,21507.963027,624.993181,79.914723,8.648838,19.855982,22254.508915
126.606667,43.877778,18.730545,22895.059251,798.368849,132.308063,9.759077,23.993470,23878.219255
-60.382200,-62.661600,15.304923,16746.202073,209.282596,40.002617,9.148541,8.882355,17028.823104
-60.382200,-62.661600,28.944479,23725.945122,310.047471,58.579389,12.354124,10.646502,24146.517086
-58.469622,-62.165142,72.340426,37413.271570,372.156304,65.687025,9.194917,6.181866,37938.832108
-58.469622,-62.165142,94.085957,48270.517451,415.093702,76.606182,11.775010,7.978562,48876.056865
-61.102333,-62.668507,8.839011,51914.590356,555.297208,88.519489,13.392486,11.440229,52592.078780
-61.102333,-62.668507,7.431138,46397.061734,470.012354,65.425564,11.188961,6.547878,46957.667629
-73.054306,-51.016806,29.729759,39975.394729,346.116352,87.035401,12.709748,28.784770,40479.770757
-73.054306,-51.016806,24.978312,47079.274065,392.778866,102.586550,15.181998,31.251849,47646.051641
-69.796706,-18.457800,25.000573,20326.676718,301.097893,88.466096,8.414028,9.557245,20759.212552
-69.796706,-18.457800,24.958957,19161.712333,285.425144,83.797630,7.987076,8.465373,19572.346513
-69.796706,-18.457800,23.533484,20776.442779,275.586552,78.790017,7.668773,9.146143,21171.167747
-70.693103,-28.383275,55.123474,21508.266547,287.687763,38.709185,6.935485,7.624164,21904.346617
-70.693103,-28.383275,91.913500,29126.815015,405.883892,75.319976,8.860060,7.610303,29716.402747
-70.693103,-28.383275,43.990295,33648.785176,265.089905,68.368987,8.106154,3.649775,34037.990292
-71.164756,-32.897283,115.123639,32641.891660,1104.313425,135.595854,18.071624,16.873431,34031.869635
-71.164756,-32.897283,129.010540,39933.469612,1169.729436,167.162882,22.616297,20.454628,41442.443396
-71.164756,-32.897283,201.438612,39570.654303,1452.813274,197.145067,22.868611,18.262200,41463.182066
-70.963453,-33.382211,106.260338,42921.565466,714.117705,129.641550,15.610739,16.460413,43903.656212
-70.963453,-33.382211,33.660154,17632.472655,311.733907,62.024463,7.341042,8.433419,18055.665640
-70.963453,-33.382211,67.359334,35015.404342,635.557470,111.871149,14.201873,17.596624,35861.990794
-70.081750,-18.487353,12.221810,8528.368283,104.164345,33.719724,3.408530,3.026791,8684.909484
-70.081750,-18.487353,42.733162,19877.438691,549.002387,40.836187,9.068810,12.615572,20531.694809
-70.081750,-18.487353,35.415449,17928.399100,461.801548,36.960506,7.766612,10.234198,18480.577413
-70.760844,-28.504750,216.874644,21195.579978,449.112341,44.756433,12.553177,13.284149,21932.160722
-70.760844,-28.504750,97.799272,21555.868851,550.192715,67.754852,8.484893,8.062607,22288.163190
-70.760844,-28.504750,57.139061,29089.905748,665.807268,59.197999,12.314265,5.987197,29890.351538
-71.183325,-32.873653,65.869064,26496.601800,1437.428515,152.125367,14.879659,12.292980,28179.197385
-71.183325,-32.873653,82.852401,29509.949878,1429.905666,203.855495,14.416007,13.708358,31254.687805
-71.183325,-32.873653,77.843045,30912.578727,1555.473565,158.600947,17.972627,18.407193,32740.876105
-43.585000,-19.268889,4.258037,14226.402380,6.132706,4.921969,2.943009,2.240649,14246.898750
-43.585000,-19.268889,3.156069,2331.497097,9.172254,4.486081,0.126453,4.123922,2352.561877
-43.585000,-19.268889,1.205132,2645.078855,8.264598,4.158674,0.478924,2.742072,2661.928254
-43.583611,-19.265278,4.538526,2121.160814,10.652534,5.466657,0.000000,2.276961,2144.095493
-43.583611,-19.265278,1.830994,2698.956845,13.978449,4.696418,0.000000,2.894089,2722.356796
-43.583611,-19.265278,1.734645,2182.361437,16.576956,5.657112,0.000000,2.188097,2208.518247
-43.605833,-19.294444,1.714145,2949.130642,13.235753,5.300372,0.000000,3.824286,2973.205199
-43.605833,-19.294444,1.214924,1940.486760,7.440350,3.845090,0.000000,2.343496,1955.330619
-43.605833,-19.294444,1.301621,2546.252444,10.431969,4.936976,0.000000,3.384014,2566.307024
-105.211800,40.242019,5.367422,6803.050197,106.733864,16.709238,2.057260,4.376754,6938.294734
-105.211800,40.242019,12.668220,12884.671351,238.668213,36.815872,3.652514,9.285945,13185.762115
-105.211800,40.242019,13.057508,12884.124781,284.514717,46.931270,3.725686,10.237955,13242.591917
-109.115161,39.190366,9.300649,14295.896328,156.564997,33.306852,1.917503,7.497034,14504.483363
-109.115161,39.190366,7.051061,8743.654590,133.140684,25.158121,1.825435,5.120044,8915.949936
-109.115161,39.190366,4.704036,6170.786860,114.770739,14.691462,1.128620,3.416211,6309.497928
-104.827230,41.315937,10.132834,12780.462280,220.359483,32.124853,3.890775,7.269163,13054.239389
-104.827230,41.315937,7.031452,9365.985633,153.669581,54.692543,3.416772,4.902238,9589.698218
-104.827230,41.315937,9.247403,11742.874515,226.781218,34.374961,3.563750,6.385022,12023.226870
-104.812000,39.829100,21.542109,22811.905668,325.983460,79.886360,6.348628,16.174300,23261.840525
-104.812000,39.829100,15.244682,22301.444043,220.178860,67.872089,5.807550,9.461280,22620.008504
-104.812000,39.829100,19.402365,18436.635307,306.968938,98.539837,5.158920,10.905244,18877.610612
-83.442310,42.445110,28.020193,34799.751244,1264.231079,93.196294,11.494328,33.608835,36230.301973
-83.442310,42.445110,23.015823,25204.429302,929.110313,81.564539,8.425326,25.571722,26272.117024
-83.442310,42.445110,17.546542,18590.805254,395.387820,46.469833,5.967365,16.639791,19072.816604
-1.298450,51.760000,26.501314,39664.351852,273.080741,108.654495,9.387642,37.391443,40119.367487
-1.298450,51.760000,27.455842,32843.625498,249.007873,96.674162,8.112003,33.977061,33258.852438
-1.298450,51.760000,21.274952,33820.797463,178.426110,87.042795,7.116636,30.710339,34145.368294
14.390105,67.301801,9.831457,12839.313573,178.941406,22.960118,3.469350,9.006572,13063.522476
14.390105,67.301801,26.095313,19176.493711,404.838950,66.625611,7.524206,13.463212,19695.041003
14.390105,67.301801,8.468517,15347.176080,152.601340,23.216053,3.692642,6.989183,15542.143814
17.597665,59.852070,14.682064,27285.489668,499.819082,61.929181,9.499571,15.264477,27886.684043
17.597665,59.852070,14.307607,5075.607927,146.271432,56.298984,2.254548,7.799678,5302.540176
17.597665,59.852070,17.121606,30138.022084,419.570091,79.870588,10.118764,17.637500,30682.340633
0.371667,46.506944,7.307178,17918.743769,655.902526,27.962794,10.790831,11.298086,18632.005184
0.371667,46.506944,6.581607,15567.010309,606.512766,28.484418,8.296681,9.901819,16226.787600
0.371667,46.506944,7.504284,20466.570467,805.188136,17.062506,9.578657,9.432819,21315.336868
-0.684444,46.303889,28.987014,36664.297319,342.842552,246.321786,7.546312,36.734061,37326.729045
-0.684444,46.303889,22.085926,39130.537229,544.884537,166.245742,7.437479,29.918566,39901.109480
-0.684444,46.303889,23.729093,30659.048215,326.828074,199.756173,6.646907,31.973202,31247.981664
0.751389,47.335556,5.831842,8869.673029,38.404604,20.572467,1.985435,5.808762,8942.276140
0.751389,47.335556,7.431427,12270.724870,53.505163,22.526613,2.270582,6.749414,12363.208070
0.751389,47.335556,10.337344,17853.638594,73.897713,34.748490,3.559249,10.133000,17986.314389
14.478296,46.052184,38.618214,40137.039937,399.559935,47.772678,5.296174,22.552239,40650.839178
14.478296,46.052184,44.398313,51010.968050,262.471890,58.867904,4.679078,27.477343,51408.862577
14.478296,46.052184,43.148002,45487.200661,432.302117,68.520427,4.665838,27.545762,46063.382806
13.717189,45.526132,44.311962,30597.293514,678.492808,74.772835,11.587655,70.512520,31476.971294
13.717189,45.526132,43.686354,28700.090744,581.469661,68.354390,10.170780,66.984758,29470.756687
13.717189,45.526132,39.089799,24723.254853,560.625564,75.646104,9.972645,58.619767,25467.208733
15.636299,46.580933,36.244189,34198.890383,350.378252,99.566640,10.388228,34.194717,34729.662409
15.636299,46.580933,24.048693,25127.854616,401.495958,66.902415,8.893316,23.835452,25653.030449
15.636299,46.580933,41.816067,36554.487179,419.611619,89.521210,6.802590,28.269030,37140.507696
28.203040,-25.787910,70.214221,56424.022837,2169.420719,62.739430,30.349127,70.430145,58827.176479
28.203040,-25.787910,72.790397,65361.599546,2447.820839,81.006211,21.618131,77.115415,68061.950539
28.203040,-25.787910,77.226540,76961.237553,2705.242508,65.048135,31.424814,94.152512,79934.332063
28.211570,-26.483380,93.731351,64079.813019,635.234767,83.887466,24.543822,92.142682,65009.353107
28.211570,-26.483380,109.430959,74779.411765,470.529913,81.023456,20.265074,103.322044,75563.983211
