ID,gridcell,longitude,latitude,depth (cm),duration (yr),primary.crop,start.date,end.date,Nrate (kg N/ha),OF2,tillage,irrigation2,cover.start,cover.end,cover.days,type,application,termination.time,yield.ck,yield.t,Cstock.ck,Cstock.t,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8
2,75039,-100.8641667,37.97527778,0-15,13,wheat,2018/10/1,2019/7/1,0,0,NT,rainfed,2018/3/1,2018/6/1,92,non-legume,surface,122,,,19.5,19.9,1,1,1,0,0,0,0,0
4,75039,-100.8641667,37.97527778,0-15,13,wheat,2018/10/1,2019/7/1,0,0,NT,rainfed,2018/3/1,2018/6/1,92,mixture,surface,122,,,19.5,19,1,1,1,0,0,0,0,0
6,75039,-100.8641667,37.97527778,0-15,13,wheat,2018/10/1,2019/7/1,0,0,NT,rainfed,2018/3/1,2018/6/1,92,mixture,surface,122,,,19.5,19.8,1,1,1,0,0,0,0,0
26,79354,-103.2,34.58333333,0-15,4,wheat,2019/10/18,2020/6/20,70,0,NT,irrigated,2019/2/16,2019/5/16,89,legume,surface,155,,,19.756,19.715,1,1,1,0,0,0,0,0
27,79354,-103.2,34.58333333,0-15,4,wheat,2019/10/18,2020/6/20,70,0,NT,irrigated,2019/2/16,2019/5/16,89,non-legume,surface,155,,,19.756,18.382,1,1,1,0,0,0,0,0
28,79354,-103.2,34.58333333,0-15,4,wheat,2019/10/18,2020/6/20,70,0,NT,irrigated,2019/2/16,2019/5/16,89,non-legume,surface,155,,,19.756,18.164,1,1,1,0,0,0,0,0
29,79354,-103.2,34.58333333,0-15,4,wheat,2019/10/18,2020/6/20,70,0,NT,irrigated,2019/2/16,2019/5/16,89,mixture,surface,155,,,19.756,20.035,1,1,1,0,0,0,0,0
30,79354,-103.2,34.58333333,0-15,4,wheat,2019/10/18,2020/6/20,70,0,NT,irrigated,2019/2/16,2019/5/16,89,mixture,surface,155,,,19.756,19.606,1,1,1,0,0,0,0,0
31,79354,-103.2,34.58333333,0-15,4,wheat,2019/10/18,2020/6/20,70,0,NT,irrigated,2019/2/16,2019/5/16,89,mixture,surface,155,,,19.756,18.638,1,1,1,0,0,0,0,0
32,79354,-103.2,34.58333333,0-15,4,wheat,2019/10/18,2020/6/20,70,0,NT,irrigated,2019/2/16,2019/5/16,89,mixture,surface,155,,,19.756,21.558,1,1,1,0,0,0,0,0
767,79056,107.7333333,35.2,0-20,6,wheat,2013/9/2,2014/6/21,81,0,CT,rainfed,2013/6/30,2013/9/1,63,legume,incorporated,1,,,22.59504762,24.87466667,1,1,1,0.33,0,0,0,0
