rr,var,min,max,sort
-0.794929875,0.251214013,-1.777306459,0.187446709,1
-0.765467842,0.085444384,-1.338392922,-0.192542762,2
-0.672708512,0.015459301,-0.916405971,-0.429011054,3
-0.469413833,0.046312569,-0.891212797,-0.047614868,4
-0.405465108,0.00824107,-0.583394578,-0.227535639,5
-0.397682967,0.00824107,-0.575612437,-0.219753498,6
-0.387765531,0.010988094,-0.593220786,-0.182310276,7
-0.387765531,0.010988094,-0.593220786,-0.182310276,8
-0.386122146,0.00824107,-0.564051615,-0.208192676,9
-0.381367557,0.061162017,-0.866094288,0.103359175,10
-0.336472237,0.010988094,-0.541927491,-0.131016982,11
-0.310671591,0.33271733,-1.441232025,0.819888844,12
-0.3074847,0.205473587,-1.195936911,0.580967512,13
-0.287682072,0.010988094,-0.493137327,-0.082226818,14
-0.244757027,0.002035928,-0.333194694,-0.15631936,15
-0.221340124,0.00824107,-0.399269594,-0.043410655,16
-0.199925261,0.032143113,-0.551323874,0.151473351,17
-0.195566783,0.002206516,-0.287634973,-0.103498594,18
-0.175632569,0.023793206,-0.477963483,0.126698346,19
-0.161366192,0.030490154,-0.503610222,0.180877838,20
-0.160550702,0.00824107,-0.338480171,0.017378768,21
-0.148683198,0.002033234,-0.237062328,-0.060304068,22
-0.143100844,0.010988094,-0.348556098,0.062354411,23
-0.138327565,0.00824107,-0.316257034,0.039601905,24
-0.113328685,0.010988094,-0.31878394,0.092126569,25
-0.112477983,0.010988094,-0.317933238,0.092977271,26
-0.109199292,0.012180836,-0.325518266,0.107119682,27
-0.105360516,0.00824107,-0.283289986,0.072568954,28
-0.105360516,0.039725652,-0.496013895,0.285292864,29
-0.100587237,0.00824107,-0.278516707,0.077342233,30
-0.089751522,0.010988094,-0.295206776,0.115703732,31
-0.085613753,0.010988094,-0.291069007,0.119841502,32
-0.084993213,0.010988094,-0.290448467,0.120462042,33
-0.082836006,0.010988094,-0.28829126,0.122619249,34
-0.077708985,0.00824107,-0.255638454,0.100220485,35
-0.077708984,0.00824107,-0.255638454,0.100220486,36
-0.077291674,0.00824107,-0.255221144,0.100637795,37
-0.073891717,0.010988094,-0.279346971,0.131563537,38
-0.064538523,0.010988094,-0.269993776,0.14091673,39
-0.064538519,0.010988094,-0.269993771,0.140916733,40
-0.063178902,0.010988094,-0.268634156,0.142276353,41
-0.054067221,0.002006627,-0.141866187,0.033731745,42
-0.053652713,0.00824107,-0.231582183,0.124276756,43
-0.050693115,0.010988094,-0.256148368,0.154762138,44
-0.050693114,0.010988094,-0.256148369,0.154762142,45
-0.049226941,0.004452987,-0.180019121,0.08156524,46
-0.04735947,0.006592856,-0.206504426,0.111785486,47
-0.044451763,0.00824107,-0.222381232,0.133477707,48
-0.043485112,0.010988094,-0.248940366,0.161970142,49
-0.043390755,0.006592856,-0.20253571,0.115754201,50
-0.041672696,0.008518607,-0.22257344,0.139228048,51
-0.041242959,0.010988094,-0.246698213,0.164212296,52
-0.038764545,0.010988094,-0.2442198,0.166690709,53
-0.038764542,0.010988094,-0.244219797,0.166690714,54
-0.036367644,0.010988094,-0.241822899,0.16908761,55
-0.03578911,0.010988094,-0.241244364,0.169666144,56
-0.035789106,0.010988094,-0.24124436,0.169666148,57
-0.035664999,0.00824107,-0.21359447,0.142264471,58
-0.035664998,0.00824107,-0.213594467,0.14226447,59
-0.035664997,0.00824107,-0.213594467,0.142264472,60
-0.031350529,0.010988094,-0.236805784,0.174104725,61
-0.030771659,0.004338092,-0.159865477,0.09832216,62
-0.029413885,0.05397966,-0.484790939,0.425963168,63
-0.029199155,0.00824107,-0.207128624,0.148730315,64
-0.029057734,0.006592856,-0.18820269,0.130087221,65
-0.026088436,0.00824107,-0.204017906,0.151841033,66
-0.026088436,0.00824107,-0.204017906,0.151841033,67
-0.023810649,0.00824107,-0.201740118,0.154118821,68
-0.021506205,0.010988094,-0.226961459,0.183949049,69
-0.019724507,0.010988094,-0.225179759,0.185730745,70
-0.019724504,0.010988094,-0.225179759,0.185730751,71
-0.018576386,0.00824107,-0.196505855,0.159353084,72
-0.017291497,0.000877704,-0.075358608,0.040775614,73
-0.014568416,0.006592856,-0.173713372,0.14457654,74
-0.013378126,0.001266382,-0.08312721,0.056370958,75
-0.013187004,0.00286626,-0.118120425,0.091746417,76
-0.011747565,0.00824107,-0.189677034,0.166181904,77
-0.011747565,0.00824107,-0.189677035,0.166181904,78
-0.011747565,0.00824107,-0.189677035,0.166181905,79
-0.01169604,0.033310814,-0.369420548,0.346028468,80
-0.010869672,0.00468522,-0.145029053,0.123289708,81
-0.008163311,0.007214498,-0.17464219,0.158315568,82
-0.006734032,0.000330379,-0.042359642,0.028891578,83
-0.006153866,0.00824107,-0.184083335,0.171775604,84
-0.003766483,0.00824107,-0.181695952,0.174162987,85
-0.00210305,0.006592856,-0.161248006,0.157041905,86
0,0.010988094,-0.205455254,0.205455254,87
0,0.00824107,-0.17792947,0.17792947,88
0,0.00824107,-0.17792947,0.17792947,89
0,0.00824107,-0.17792947,0.17792947,90
0,0.00824107,-0.17792947,0.17792947,91
0,0.00824107,-0.17792947,0.17792947,92
0,0.00824107,-0.17792947,0.17792947,93
