rr,var,min,max,sort
-5.081404383,0.064596947,-5.579556599,-4.583252167,1
-3.062223964,0.157139512,-3.839184161,-2.285263767,2
-1.79175947,0.064596939,-2.289911656,-1.293607285,3
-1.738649645,0.064596938,-2.23680183,-1.240497461,4
-1.723182618,0.054963694,-2.182691625,-1.263673611,5
-1.594740291,0.174854323,-2.414325776,-0.775154807,6
-1.531801945,0.064596939,-2.02995413,-1.03364976,7
-1.456361924,0.064596939,-1.954514108,-0.958209739,8
-1.356441398,0.086129251,-1.931657994,-0.781224802,9
-1.278874113,2.244903764,-4.215542684,1.657794459,10
-1.266493257,0.035567725,-1.636137643,-0.89684887,11
-1.049822124,0.673673469,-2.658543356,0.558899107,12
-1.01523068,0.122582987,-1.701463004,-0.328998356,13
-0.956996778,0.043064626,-1.363736334,-0.550257221,14
-0.788457368,0.06459694,-1.286609557,-0.290305179,15
-0.693147182,0.104166667,-1.325734462,-0.060559902,16
-0.693147181,0.08612925,-1.26836377,-0.117930591,17
-0.69314718,0.064596938,-1.191299364,-0.194994996,18
-0.689970789,0.054535047,-1.147684496,-0.232257083,19
-0.606135804,0.129193878,-1.310629381,0.098357773,20
-0.578788248,0.064596939,-1.076940432,-0.080636063,21
-0.574541438,0.064596939,-1.072693623,-0.076389253,22
-0.54883495,0.064596939,-1.046987134,-0.050682765,23
-0.54522705,0.183482987,-1.384791368,0.294337267,24
-0.544727176,0.064596939,-1.042879363,-0.04657499,25
-0.534082486,0.064596938,-1.03223467,-0.035930301,26
-0.533683762,0.064596939,-1.031835946,-0.035531577,27
-0.530628254,0.064596938,-1.028780437,-0.032476071,28
-0.510825625,0.453333333,-1.83049427,0.80884302,29
-0.472906389,0.212383744,-1.376174561,0.430361783,30
-0.454018333,0.064596939,-0.952170518,0.044133851,31
-0.451985124,0.953168044,-2.365539502,1.461569254,32
-0.441056053,0.064596939,-0.939208238,0.057096132,33
-0.432472309,0.064596939,-0.930624494,0.065679876,34
-0.430782915,0.064596938,-0.928935096,0.067369267,35
-0.430721987,0.064596938,-0.928874171,0.067430197,36
-0.430102412,0.064596939,-0.928254597,0.068049772,37
-0.424157243,0.064596939,-0.922309429,0.073994943,38
-0.411979789,0.041386219,-0.810714411,-0.013245167,39
-0.405465116,0.064596939,-0.903617304,0.092687073,40
-0.405465108,0.086129253,-0.980681709,0.169751493,41
-0.405465108,0.03787037,-0.786887204,-0.024043013,42
-0.39142275,0.064596939,-0.889574935,0.106729434,43
-0.384411699,0.015891245,-0.631490241,-0.137333156,44
-0.378973493,0.085316552,-0.951469839,0.193522854,45
-0.36646295,0.064596938,-0.864615135,0.131689234,46
-0.332938664,2.182175388,-3.228287515,2.562410187,47
-0.325358566,0.027005407,-0.647451678,-0.003265454,48
-0.318453731,0.953168044,-2.232008109,1.595100647,49
-0.295321529,0.043030082,-0.701897919,0.111254862,50
-0.290130055,0.020726266,-0.572303803,-0.007956306,51
-0.282566972,0.064596939,-0.780719157,0.215585213,52
-0.266267978,0.004503836,-0.397804809,-0.134731147,53
-0.265703166,0.147072045,-1.017362641,0.48595631,54
-0.262364258,0.064596939,-0.760516446,0.23578793,55
-0.25489225,0.011818581,-0.467970312,-0.041814188,56
-0.254114766,0.059427996,-0.731920781,0.223691249,57
-0.251872621,0.086129251,-0.827089217,0.323343975,58
-0.249215792,0.064596939,-0.747367976,0.248936393,59
-0.249052682,0.042690038,-0.654019407,0.155914043,60
-0.246785314,0.028539007,-0.577897757,0.084327128,61
-0.245672665,0.064596939,-0.74382485,0.25247952,62
-0.238411023,0.086129251,-0.813627619,0.336805573,63
-0.227938726,0.064596939,-0.726090911,0.270213459,64
-0.226988004,0.086129251,-0.802204599,0.348228592,65
-0.224144051,0.030041233,-0.563859226,0.115571123,66
-0.223143552,0.064596938,-0.721295736,0.275008632,67
-0.223143551,0.064596939,-0.721295736,0.275008634,68
-0.217103158,0.007934393,-0.391690568,-0.042515747,69
-0.21217452,0.064596939,-0.710326705,0.285977665,70
-0.206336433,0.064596939,-0.704488618,0.291815752,71
-0.202417421,0.065304161,-0.703289127,0.298454286,72
-0.200670697,0.086129252,-0.775887294,0.3745459,73
-0.19836062,0.064596939,-0.696512805,0.299791565,74
-0.19131712,0.050545913,-0.631972518,0.249338278,75
-0.186254123,0.011602662,-0.397376805,0.02486856,76
-0.186212612,0.0318625,-0.536073986,0.163648762,77
-0.185818937,0.117780449,-0.858474402,0.486836528,78
-0.184714856,0.086129251,-0.759931452,0.39050174,79
-0.183285877,0.006501901,-0.341329228,-0.025242525,80
-0.178555074,0.045396832,-0.596163108,0.23905296,81
-0.172842813,0.064596939,-0.670994998,0.325309372,82
-0.167054085,0.005279602,-0.309469392,-0.024638777,83
-0.164303051,0.086129251,-0.739519647,0.410913545,84
-0.160422606,0.012818698,-0.382333196,0.061487984,85
-0.15856375,0.064596939,-0.656715935,0.339588435,86
-0.139761942,0.028458385,-0.470406361,0.190882476,87
-0.138150338,0.086129251,-0.713366934,0.437066258,88
-0.126484147,0.064596939,-0.624636332,0.371668038,89
-0.116724274,0.086129251,-0.69194087,0.458492322,90
-0.115831816,0.086129251,-0.691048411,0.45938478,91
-0.111225635,0.064596939,-0.609377821,0.38692655,92
-0.105360515,0.086129251,-0.680577111,0.469856081,93
-0.103184237,0.021920746,-0.393375104,0.187006631,94
-0.102482478,0.01536951,-0.345471182,0.140506227,95
-0.094378937,0.106003837,-0.732520254,0.54376238,96
-0.088107267,0.216261376,-0.999583928,0.823369393,97
-0.086292771,0.064596938,-0.584444955,0.411859412,98
-0.082070029,0.015473296,-0.325877767,0.161737709,99
-0.07809921,0.015633801,-0.323168196,0.166969777,100
-0.077961541,0.086129251,-0.653178137,0.497255054,101
-0.06941741,0.015586256,-0.314113464,0.175278645,102
-0.067822596,0.064596939,-0.565974781,0.430329589,103
-0.064305195,0.075705688,-0.603592662,0.474982272,104
-0.058525245,0.178182447,-0.885873835,0.768823345,105
-0.055569848,0.064596938,-0.553722032,0.442582336,106
-0.042925045,0.064596939,-0.541077229,0.45522714,107
-0.040328045,0.240798161,-1.002123353,0.921467263,108
-0.040328045,0.240798161,-1.002123354,0.921467263,109
-0.032281693,0.083891233,-0.599975765,0.535412379,110
-0.02564243,0.034542168,-0.389918688,0.338633827,111
-0.019531871,0.009125108,-0.206761716,0.167697974,112
-0.018349139,0.322229938,-1.130949036,1.094250758,113
-0.018349139,0.322229938,-1.130949036,1.094250759,114
-0.01626052,0.064596939,-0.514412705,0.481891665,115
-0.016000341,0.064596939,-0.514152526,0.482151844,116
-0.010526413,0.066192994,-0.514795197,0.493742371,117
-0.000117576,0.260198751,-0.999907314,0.999672162,118
0,0.086129251,-0.575216594,0.575216594,119
0,0.064596939,-0.498152185,0.498152185,120
0,0.125,-0.692964646,0.692964646,121
0,0,0,0,122
0,0,0,0,123
0,0,0,0,124
0,0.064596955,-0.498152247,0.498152247,125
0,0.064596955,-0.498152247,0.498152247,126
0,0.064596955,-0.498152247,0.498152247,127
0,0.064596939,-0.498152185,0.498152185,128
0,0.064596939,-0.498152185,0.498152185,129
0,0.123175507,-0.68788882,0.68788882,130
0,0.688705234,-1.626570019,1.626570019,131
0,0.064596938,-0.498152183,0.498152183,132
0.003384098,0.064596939,-0.494768087,0.501536283,133
0.005361943,0.064596939,-0.492790241,0.503514128,134
0.009149195,0.064596939,-0.48900299,0.507301379,135
0.011494379,0.031774448,-0.337883238,0.360871997,136
0.012578782,0.017911017,-0.249732031,0.274889595,137
0.020202707,0.413298163,-1.23984738,1.280252795,138
0.021053409,0.268629125,-0.99480369,1.036910508,139
0.021053409,0.268629125,-0.99480369,1.036910508,140
0.025434897,0.001889444,-0.059761857,0.110631651,141
0.027398974,0.086129251,-0.547817622,0.602615569,142
0.028987537,0.086129252,-0.546229059,0.604204134,143
0.03373814,0.006694636,-0.126630544,0.194106824,144
0.037740329,0.086129251,-0.537476267,0.612956925,145
0.038839833,0.064596939,-0.459312351,0.536992018,146
0.043802623,0.012391495,-0.174378875,0.26198412,147
0.046520016,0.06933903,-0.469593166,0.562633198,148
0.046717625,0.085690833,-0.527033109,0.620468358,149
0.048790164,0.086129251,-0.526426431,0.62400676,150
0.049448275,0.0093998,-0.140578757,0.239475307,151
0.062131781,0.008084756,-0.114102148,0.23836571,152
0.062800901,0.064596939,-0.435351284,0.560953086,153
0.064538521,0.102296008,-0.562342922,0.691419964,154
0.066691376,0.064596938,-0.431460808,0.56484356,155
0.067139304,0.064596939,-0.43101288,0.565291489,156
0.068992871,0.086129251,-0.506223724,0.644209466,157
0.072320662,0.086129251,-0.502895934,0.647537257,158
0.074107972,0.064596939,-0.424044213,0.572260157,159
0.075223421,0.064596939,-0.422928764,0.573375606,160
0.080042708,0.086129251,-0.495173888,0.655259304,161
0.080945924,0.189338358,-0.771909419,0.933801268,162
0.085359849,0.064596939,-0.412792335,0.583512034,163
0.087011377,0.703168044,-1.556548892,1.730571646,164
0.090971778,0.064596939,-0.407180407,0.589123963,165
0.091567194,0.00976917,-0.102157469,0.285291856,166
