rr,var,min,max,sort
-2.833213344,0.004364336,-2.962697055,-2.703729633,1
-0.673729095,0.003501864,-0.789715131,-0.557743059,2
-0.505749471,0.004149122,-0.632000285,-0.379498657,3
-0.400943623,0.025665412,-0.714944016,-0.086943231,4
-0.376477571,0.004078541,-0.501649952,-0.25130519,5
-0.369853036,0.023616496,-0.671059162,-0.06864691,6
-0.330137428,0.020475272,-0.610597413,-0.049677443,7
-0.319770387,0.042721442,-0.724886041,0.085345266,8
-0.318453732,0.005566116,-0.464682286,-0.172225177,9
-0.31481074,0.003603505,-0.432467976,-0.197153504,10
-0.278203328,0.004364336,-0.40768704,-0.148719617,11
-0.269663567,0.003412223,-0.384155471,-0.155171663,12
-0.26815565,0.049917084,-0.706061428,0.169750128,13
-0.259957524,0.003273252,-0.372093708,-0.147821341,14
-0.259957524,0.004364336,-0.389441236,-0.130473813,15
-0.259957524,0.004364336,-0.389441236,-0.130473813,16
-0.256940931,0.025016838,-0.566948488,0.053066626,17
-0.252835341,0.004364336,-0.382319053,-0.12335163,18
-0.245938071,0.01192422,-0.459966304,-0.031909838,19
-0.239562824,0.050187119,-0.678651468,0.19952582,20
-0.220893832,0.007466721,-0.39025781,-0.051529853,21
-0.219053566,0.004364336,-0.348537278,-0.089569855,22
-0.207639365,0.004364336,-0.337123076,-0.078155653,23
-0.204931747,0.026172312,-0.52201778,0.112154286,24
-0.198808931,0.014862674,-0.437757558,0.040139697,25
-0.194716082,0.001454779,-0.269473537,-0.119958626,26
-0.18171751,0.037610252,-0.561827418,0.198392399,27
-0.17979311,0.004364336,-0.309276822,-0.050309399,28
-0.176279242,0.150607912,-0.936920652,0.584362167,29
-0.172446809,0.003273252,-0.284582992,-0.060310625,30
-0.172245905,0.004364336,-0.301729616,-0.042762193,31
-0.170641589,0.008183556,-0.347949083,0.006665905,32
-0.168519958,0.033519581,-0.52736369,0.190323774,33
-0.164303051,0.004364336,-0.293786763,-0.03481934,34
-0.16340611,0.004364336,-0.292889821,-0.033922398,35
-0.159630146,0.004364336,-0.289113857,-0.030146434,36
-0.159064695,0.004364336,-0.288548406,-0.029580983,37
-0.15415068,0.004364336,-0.283634391,-0.024666968,38
-0.151323423,0.010179513,-0.349074827,0.046427981,39
-0.148845628,0.004364336,-0.278329339,-0.019361916,40
-0.148845628,0.004364336,-0.278329339,-0.019361916,41
-0.144169791,0.001486524,-0.219738502,-0.06860108,42
-0.131242189,0.002596043,-0.231106889,-0.031377489,43
-0.131136182,0.028618277,-0.462708156,0.200435792,44
-0.130265195,0.000686865,-0.181633102,-0.078897288,45
-0.129693296,0.002414399,-0.226000908,-0.033385685,46
-0.127444947,0.004364336,-0.256928658,0.002038765,47
-0.117783036,0.004364336,-0.247266747,0.011700676,48
-0.117178519,0.008277397,-0.295499719,0.06114268,49
-0.115831816,0.004364336,-0.245315527,0.013651896,50
-0.115279826,0.003273252,-0.22741601,-0.003143643,51
-0.111369821,0.004364336,-0.240853532,0.018113891,52
-0.109199292,0.008084645,-0.285432013,0.067033429,53
-0.107420249,0.00119673,-0.175224063,-0.039616434,54
-0.107144637,0.003109581,-0.216441323,0.002152048,55
-0.107144637,0.002335417,-0.201863894,-0.012425381,56
-0.106921341,0.003273252,-0.219057524,0.005214843,57
-0.104209226,0.003273252,-0.216345409,0.007926958,58
-0.103796794,0.004364336,-0.233280505,0.025686918,59
-0.102478328,0.00105722,-0.166207582,-0.038749074,60
-0.098440073,0.004364336,-0.227923784,0.031043639,61
-0.097952688,0.003273252,-0.210088871,0.014183496,62
-0.09531018,0.004364336,-0.224793891,0.034173532,63
-0.09333194,0.004364336,-0.222815651,0.036151772,64
-0.09237332,0.004364336,-0.221857032,0.037110391,65
-0.091567194,0.004364336,-0.221050905,0.037916518,66
-0.091072885,0.006765694,-0.252290406,0.070144636,67
-0.0893451,0.004364336,-0.218828812,0.040138611,68
-0.085694721,0.004364336,-0.215178433,0.04378899,69
-0.085471731,0.007037702,-0.249898112,0.078954651,70
-0.084417342,0.003273252,-0.196553525,0.027718842,71
-0.084015629,0.004364336,-0.213499341,0.045468082,72
-0.083504552,0.003273252,-0.195640736,0.028631631,73
-0.081678031,0.003273252,-0.193814215,0.030458152,74
-0.080688911,0.003273252,-0.192825095,0.031447272,75
-0.080688911,0.003273252,-0.192825095,0.031447272,76
-0.080665373,0.003273252,-0.192801556,0.031470811,77
-0.078744368,0.003211584,-0.189819217,0.032330482,78
-0.077817022,0.002678465,-0.179254648,0.023620603,79
-0.075985907,0.003273252,-0.18812209,0.036150277,80
-0.075566042,0.001878328,-0.160511814,0.009379729,81
-0.074901308,0.004364336,-0.20438502,0.054582403,82
-0.074107972,0.004364336,-0.203591684,0.055375739,83
-0.07251566,0.003273252,-0.184651843,0.039620524,84
-0.072085318,0.004364336,-0.201569029,0.057398394,85
-0.072031128,0.004364336,-0.20151484,0.057452583,86
-0.072031128,0.004364336,-0.20151484,0.057452583,87
-0.0719735,0.015158111,-0.31328533,0.16933833,88
-0.0719735,0.000870612,-0.129805537,-0.014141462,89
-0.071035773,0.003273252,-0.183171957,0.04110041,90
-0.071035773,0.003273252,-0.183171957,0.04110041,91
-0.070594794,0.003273252,-0.182730978,0.041541389,92
-0.068562671,0.004364336,-0.198046383,0.06092104,93
-0.068122171,0.003273252,-0.180258354,0.044014013,94
-0.067468868,0.003273252,-0.179605052,0.044667315,95
-0.066805657,0.015934279,-0.314218519,0.180607206,96
-0.065517072,0.003273252,-0.177653256,0.046619111,97
-0.064974346,0.004364336,-0.194458057,0.064509365,98
-0.064873586,0.004364336,-0.194357297,0.064610126,99
-0.062786988,0.003273252,-0.174923171,0.049349196,100
-0.061368946,0.004364336,-0.190852658,0.068114765,101
-0.061368946,0.004364336,-0.190852658,0.068114765,102
-0.0609607,0.004364336,-0.190444411,0.068523012,103
-0.060776609,0.001454779,-0.135534065,0.013980847,104
-0.060776609,0.001454779,-0.135534065,0.013980847,105
-0.060624622,0.004976698,-0.198894226,0.077644982,106
-0.059719235,0.004364336,-0.189202946,0.069764477,107
-0.059316577,0.002182168,-0.150875388,0.032242233,108
-0.0588405,0.004364336,-0.188324211,0.070643211,109
-0.0588405,0.003273252,-0.170976684,0.053295683,110
-0.0588405,0.003273252,-0.170976684,0.053295683,111
-0.058594164,0.003273252,-0.170730348,0.053542019,112
-0.058403533,0.003273252,-0.170539717,0.05373265,113
-0.058403533,0.003273252,-0.170539716,0.053732651,114
-0.058403533,0.003273252,-0.170539716,0.053732651,115
-0.058389789,0.004364336,-0.187873501,0.071093922,116
-0.058254735,0.004364336,-0.187738447,0.071228976,117
-0.057819571,0.004364336,-0.187303282,0.071664141,118
-0.057158414,0.000987868,-0.118761931,0.004445104,119
-0.05709682,0.003273252,-0.169233004,0.055039363,120
-0.056526625,0.003273252,-0.168662809,0.055609558,121
-0.056027831,0.000544095,-0.101746483,-0.01030918,122
-0.055915185,0.041226269,-0.453878544,0.342048175,123
-0.055373049,0.004364336,-0.18485676,0.074110663,124
-0.055350095,0.004364336,-0.184833807,0.074133616,125
-0.053784433,0.001498428,-0.129655117,0.022086251,126
-0.052492966,0.004364336,-0.181976678,0.076990745,127
-0.052392934,0.000728964,-0.105311644,0.000525776,128
-0.052268428,0.003650843,-0.17069596,0.066159104,129
-0.052185753,0.007447573,-0.221332419,0.116960913,130
-0.051959739,0.003273252,-0.164095922,0.060176445,131
-0.051735674,0.003273252,-0.163871858,0.060400509,132
-0.051413191,0.001158704,-0.118131093,0.01530471,133
-0.051293295,0.004360026,-0.180713063,0.078126473,134
-0.050430854,0.004364336,-0.179914565,0.079052858,135
-0.049596941,0.004364336,-0.179080653,0.07988677,136
-0.049392755,0.004364336,-0.178876467,0.080090956,137
-0.049325067,0.004103225,-0.174875647,0.076225514,138
-0.049271049,0.042972422,-0.455574945,0.357032847,139
-0.049029427,0.000770322,-0.103428597,0.005369743,140
-0.048246834,0.003277355,-0.160453274,0.063959607,141
-0.048202102,0.003273252,-0.160338285,0.063934082,142
-0.048009219,0.028793503,-0.380594729,0.284576291,143
-0.048009219,0.004364336,-0.177492931,0.081474492,144
-0.046427105,0.003273252,-0.158563288,0.065709079,145
-0.045809536,0.023644603,-0.347194852,0.25557578,146
-0.045746022,0.003273252,-0.157882205,0.066390162,147
-0.045256592,0.000798469,-0.100640685,0.010127501,148
-0.045052664,0.003299783,-0.157642394,0.067537066,149
-0.044451763,0.000989119,-0.106094268,0.017190743,150
-0.044451763,0.003884866,-0.166616,0.077712475,151
-0.044451763,0.004364336,-0.173935474,0.085031949,152
-0.043802623,0.004364336,-0.173286334,0.085681089,153
-0.043802623,0.004364336,-0.173286334,0.085681089,154
-0.043485112,0.004364336,-0.172968823,0.0859986,155
-0.043083586,0.004364336,-0.172567298,0.086400125,156
-0.043017385,0.004364336,-0.172501097,0.086466326,157
-0.042559614,0.000736485,-0.095750607,0.010631379,158
-0.042559614,0.001114557,-0.107994181,0.022874952,159
-0.042453316,0.001660443,-0.12232045,0.037413818,160
-0.041964199,0.002447839,-0.138936459,0.05500806,161
-0.041863221,0.003273252,-0.153999405,0.070272962,162
-0.04143719,0.004364336,-0.170920901,0.088046522,163
-0.04143719,0.004364336,-0.170920901,0.088046522,164
-0.040821995,0.004364336,-0.170305706,0.088661717,165
-0.040409538,0.026796078,-0.36125189,0.280432813,166
-0.039696502,0.003273252,-0.151832686,0.072439682,167
-0.039413968,0.004364336,-0.16889768,0.090069743,168
-0.039409232,0.003273252,-0.151545416,0.072726951,169
-0.039375165,0.004364336,-0.168858877,0.090108546,170
-0.039375165,0.004364336,-0.168858877,0.090108546,171
-0.038995767,0.001244711,-0.108145477,0.030153944,172
-0.03889948,0.017232528,-0.296194022,0.218395062,173
-0.037740328,0.002901052,-0.1433087,0.067828044,174
-0.037594789,0.008297611,-0.216133586,0.140944009,175
-0.037563102,0.006016684,-0.189594985,0.114468782,176
-0.037179003,0.000147562,-0.060988117,-0.013369889,177
-0.037152266,0.003273252,-0.149288449,0.074983918,178
-0.03679434,0.003273252,-0.148930523,0.075341844,179
-0.036634133,0.004364336,-0.166117845,0.092849578,180
-0.036367644,0.004364336,-0.165851356,0.093116067,181
-0.036367644,0.004364336,-0.165851356,0.093116067,182
-0.036039936,0.004364336,-0.165523648,0.093443775,183
-0.036039936,0.004364336,-0.165523648,0.093443775,184
-0.035809453,0.002182168,-0.127368263,0.055749358,185
-0.035645322,0.001868372,-0.12036567,0.049075027,186
-0.03501684,0.004364336,-0.164500552,0.094466871,187
-0.03471324,0.003273252,-0.146849424,0.077422943,188
-0.034578561,0.004364336,-0.164062272,0.094905151,189
-0.033901552,0.003273252,-0.146037735,0.078234632,190
-0.03373814,0.000743848,-0.087194368,0.019718088,191
-0.033456224,0.003273252,-0.145592407,0.078679959,192
-0.033394007,0.010221816,-0.23155588,0.164767866,193
-0.032944156,0.001893374,-0.118229477,0.052341165,194
-0.032789823,0.004364336,-0.162273534,0.096693889,195
-0.032697389,0.003273252,-0.144833572,0.079438795,196
-0.032599772,0.003273252,-0.144735956,0.079536411,197
-0.032599772,0.003273252,-0.144735955,0.079536412,198
-0.032599772,0.003273252,-0.144735955,0.079536412,199
-0.032435276,0.004364336,-0.161918987,0.097048436,200
-0.031748698,0.004364336,-0.16123241,0.097735013,201
-0.031609731,0.001563368,-0.109107044,0.045887582,202
-0.031609731,0.001563368,-0.109107044,0.045887582,203
-0.031416196,0.004364336,-0.160899908,0.098067515,204
-0.031311995,0.003273252,-0.143448178,0.080824189,205
-0.030536724,0.021261002,-0.316327324,0.255253876,206
-0.030279857,0.016727726,-0.283777851,0.223218136,207
-0.029852963,0.006766025,-0.191074425,0.131368499,208
-0.02974197,0.003273252,-0.141878153,0.082394214,209
-0.029413885,0.004364336,-0.158897597,0.100069826,210
-0.029413885,0.00321386,-0.140528082,0.081700311,211
-0.029413885,0.004364336,-0.158897597,0.100069826,212
-0.029023822,0.000429518,-0.069644444,0.011596801,213
-0.028987537,0.004364336,-0.158471248,0.100496175,214
-0.028170877,0.002182168,-0.119729687,0.063387933,215
-0.028027312,0.004364336,-0.157511024,0.101456399,216
-0.027556279,0.008719248,-0.210575031,0.155462473,217
-0.027556279,0.013706502,-0.257022831,0.201910274,218
-0.026907453,0.004364336,-0.156391164,0.102576259,219
-0.026907453,0.004364336,-0.156391164,0.102576259,220
-0.026819974,0.001932264,-0.112976728,0.05933678,221
-0.02614528,0.004364336,-0.155628992,0.103338431,222
-0.025975486,0.003273252,-0.13811167,0.086160697,223
-0.025752496,0.008341901,-0.204767156,0.153262164,224
-0.025733695,0.003273252,-0.137869878,0.086402489,225
-0.02515856,0.000590794,-0.072798806,0.022481687,226
-0.024713657,0.002618601,-0.125011308,0.075583995,227
-0.024571261,0.002045747,-0.113221934,0.064079412,228
-0.024391453,0.004364336,-0.153875165,0.105092258,229
-0.024001152,0.003803563,-0.144880294,0.09687799,230
-0.023223927,0.001454779,-0.097981383,0.051533529,231
-0.02308602,0.003273252,-0.135222204,0.089050163,232
-0.022728251,0.002325281,-0.117241736,0.071785234,233
-0.022642477,0.003273252,-0.13477866,0.089493707,234
-0.022424859,0.003273252,-0.134561042,0.089711325,235
-0.022133438,0.001953334,-0.108758653,0.064491776,236
-0.021978907,0.004364336,-0.151462618,0.107504805,237
-0.021819047,0.004364336,-0.151302759,0.107664664,238
-0.021739987,0.004364336,-0.151223698,0.107743725,239
-0.021721823,0.003273252,-0.133858007,0.09041436,240
-0.021180822,0.003273252,-0.133317006,0.090955361,241
-0.020619287,0.002737755,-0.123173473,0.081934899,242
-0.020478531,0.004364336,-0.149962243,0.10900518,243
-0.020408872,0.004364336,-0.149892583,0.10907484,244
-0.020000667,0.00180054,-0.103168899,0.063167565,245
-0.019991146,0.003273252,-0.13212733,0.092145037,246
-0.019901154,0.000792295,-0.075070712,0.035268403,247
-0.019802627,0.003273252,-0.131938811,0.092333556,248
-0.019293203,0.004364336,-0.148776914,0.110190509,249
-0.018868484,0.004364336,-0.148352196,0.110615227,250
-0.018519048,0.003575947,-0.135725527,0.098687431,251
-0.018208069,0.001751836,-0.100243759,0.063827621,252
-0.018018506,0.004364336,-0.147502217,0.111465206,253
-0.017493157,0.002182168,-0.109051968,0.074065653,254
-0.017263067,0.00134213,-0.089067858,0.054541723,255
-0.015748357,0.004364336,-0.145232068,0.113735354,256
-0.015682496,0.017329466,-0.273699697,0.242334705,257
-0.015504187,0.003273252,-0.12764037,0.096631997,258
-0.015267472,0.004364336,-0.144751184,0.114216239,259
-0.015267472,0.004364336,-0.144751184,0.114216239,260
-0.015113638,0.004364336,-0.144597349,0.114370074,261
-0.015094626,0.003273252,-0.12723081,0.097041557,262
-0.014878064,0.012527466,-0.234253341,0.204497213,263
-0.014834886,0.004364336,-0.144318598,0.114648825,264
-0.014104606,0.003273252,-0.12624079,0.098031577,265
-0.013513719,0.004364336,-0.142997431,0.115969992,266
-0.013513719,0.004364336,-0.142997431,0.115969992,267
-0.013511252,0.003273252,-0.125647435,0.098624932,268
-0.013511252,0.003273252,-0.125647435,0.098624932,269
-0.013511252,0.003273252,-0.125647435,0.098624932,270
-0.013267799,0.004364336,-0.14275151,0.116215913,271
-0.012739026,0.004364336,-0.142222737,0.116744686,272
-0.012578782,0.004364336,-0.142062494,0.116904929,273
-0.012166739,0.004364336,-0.14165045,0.117316973,274
-0.012149057,0.004364336,-0.141632769,0.117334654,275
-0.012149057,0.004364336,-0.141632769,0.117334654,276
-0.011928571,0.003757105,-0.132067222,0.10821008,277
-0.011428696,0.004364336,-0.140912407,0.118055016,278
-0.011428696,0.004364336,-0.140912407,0.118055016,279
-0.010929071,0.004364336,-0.140412782,0.118554641,280
-0.010752792,0.003840879,-0.132223449,0.110717866,281
-0.010050336,0.004364336,-0.139534047,0.119433376,282
-0.00972455,0.009431459,-0.200071318,0.180622218,283
-0.009661911,0.004037678,-0.134205655,0.114881833,284
-0.009523882,0.003284534,-0.121853157,0.102805394,285
-0.009380932,0.003273252,-0.121517115,0.102755252,286
-0.008199822,0.004364336,-0.137683534,0.121283889,287
-0.007722046,0.004364336,-0.137205758,0.121761665,288
-0.007722046,0.004364336,-0.137205758,0.121761665,289
-0.007621601,0.004364336,-0.137105312,0.121862111,290
-0.007568626,0.003273252,-0.11970481,0.104567557,291
-0.006703936,0.004364336,-0.136187647,0.122779776,292
-0.006688988,0.004364336,-0.1361727,0.122794723,293
-0.006688988,0.004364336,-0.1361727,0.122794723,294
-0.006472515,0.003273252,-0.118608698,0.105663669,295
-0.00643089,0.003273252,-0.118567074,0.105705293,296
-0.006272759,0.001667464,-0.08630857,0.073763052,297
-0.00619197,0.004364336,-0.135675682,0.123291741,298
-0.006064866,0.004364336,-0.135548577,0.123418846,299
-0.006062038,0.004364336,-0.135545749,0.123421674,300
-0.00556175,0.003273252,-0.117697933,0.106574434,301
-0.005420067,0.004364336,-0.134903779,0.124063644,302
-0.005123837,0.003273252,-0.117260021,0.107012346,303
-0.00486619,0.002011313,-0.092767611,0.083035231,304
-0.00486619,0.002011313,-0.092767611,0.083035231,305
-0.004566218,0.001133501,-0.070554545,0.061422109,306
-0.004540303,0.010423992,-0.204652292,0.195571686,307
-0.004490353,0.007853192,-0.178182097,0.169201391,308
-0.003868477,0.004364336,-0.133352188,0.125615235,309
-0.003868477,0.004364336,-0.133352188,0.125615235,310
-0.003696862,0.004364336,-0.133180573,0.12578685,311
-0.003696862,0.004364336,-0.133180573,0.12578685,312
-0.003696862,0.004364336,-0.133180573,0.12578685,313
-0.003696862,0.004364336,-0.133180573,0.12578685,314
-0.00332779,0.003273252,-0.115463974,0.108808393,315
-0.003304228,0.003273252,-0.115440411,0.108831956,316
-0.002355714,0.003273252,-0.114491897,0.10978047,317
-0.002081785,0.003273252,-0.114217969,0.110054398,318
-0.002077475,0.004364336,-0.131561187,0.127406236,319
0,0.001927438,-0.086049082,0.086049082,320
0,0.00138322,-0.072895664,0.072895664,321
0,0.001179138,-0.067303624,0.067303624,322
0,0.00094518,-0.060257795,0.060257795,323
0,0.000775047,-0.054565754,0.054565754,324
0,0.000775047,-0.054565754,0.054565754,325
0,0.001398866,-0.073306772,0.073306772,326
0,0.001153119,-0.06655691,0.06655691,327
0,0.001234568,-0.06886738,0.06886738,328
0,0.001604938,-0.078520894,0.078520894,329
0,0.000868056,-0.057747054,0.057747054,330
0,0.000590278,-0.04761944,0.04761944,331
0,0.000590278,-0.04761944,0.04761944,332
0,0.000868056,-0.057747054,0.057747054,333
0,0.000868056,-0.057747054,0.057747054,334
0,0.003119355,-0.109468328,0.109468328,335
0,0.004364336,-0.129483711,0.129483711,336
0,0.004364336,-0.129483711,0.129483711,337
0,0.001953125,-0.086620581,0.086620581,338
0,0.004364336,-0.129483711,0.129483711,339
0,0.000838453,-0.056753862,0.056753862,340
0,0.003273252,-0.112136183,0.112136183,341
0,0.003273252,-0.112136183,0.112136183,342
0,0.003273252,-0.112136183,0.112136183,343
0,0.003273252,-0.112136183,0.112136183,344
0,0.003273252,-0.112136183,0.112136183,345
0,0.003273252,-0.112136183,0.112136183,346
0,0.003273252,-0.112136183,0.112136183,347
0,0.004364336,-0.129483711,0.129483711,348
0,0.004364336,-0.129483711,0.129483711,349
0,0.003940792,-0.123040427,0.123040427,350
0,0.0069161,-0.162999659,0.162999659,351
0,0.004364336,-0.129483711,0.129483711,352
0.002769318,0.003273252,-0.109366866,0.114905501,353
0.003395589,0.003273252,-0.108740594,0.115531772,354
0.003508776,0.003273252,-0.108627408,0.115644959,355
0.003518034,0.003273252,-0.10861815,0.115654217,356
0.003780723,0.004364336,-0.125702989,0.133264434,357
0.003780723,0.004364336,-0.125702989,0.133264434,358
0.004150614,0.003273252,-0.10798557,0.116286797,359
0.004444452,0.004364336,-0.12503926,0.133928163,360
0.004819286,0.004364336,-0.124664425,0.134302998,361
0.005137437,0.001900344,-0.080304721,0.090579596,362
0.005763705,0.004364336,-0.123720007,0.135247416,363
0.006349228,0.004364336,-0.123134484,0.135832939,364
0.007117468,0.004364336,-0.122366244,0.136601179,365
0.007168489,0.004364336,-0.122315222,0.136652201,366
0.00793655,0.002182168,-0.083622261,0.09949536,367
0.008196767,0.004364336,-0.121286944,0.137680479,368
0.008258488,0.003273252,-0.103877696,0.120394671,369
0.00882858,0.003422853,-0.105841517,0.123498677,370
0.009046625,0.001650118,-0.070571787,0.088665037,371
0.009434032,0.006187777,-0.144744318,0.163612382,372
0.009569451,0.055626233,-0.452700747,0.471839649,373
0.009615458,0.003273252,-0.102520725,0.121751642,374
0.009615459,0.003273252,-0.102520725,0.121751642,375
0.009615459,0.003273252,-0.102520725,0.121751642,376
0.009756175,0.004364336,-0.119727537,0.139239886,377
0.010582109,0.004364336,-0.118901602,0.140065821,378
0.010582109,0.004364336,-0.118901602,0.140065821,379
0.01063032,0.000564899,-0.035954176,0.057214816,380
0.010664872,0.001454779,-0.064092584,0.085422327,381
0.011352637,0.002618601,-0.088945015,0.111650289,382
0.011363759,0.003273252,-0.100772425,0.123499942,383
0.011363759,0.003273252,-0.100772425,0.123499942,384
0.011494379,0.004364336,-0.117989332,0.140978091,385
0.011594333,0.002496475,-0.086336557,0.109525223,386
0.011639317,0.003273252,-0.100496867,0.1237755,387
0.011660843,0.002618601,-0.088636809,0.111958495,388
0.01166842,0.004364336,-0.117815292,0.141152131,389
0.011896405,0.004364336,-0.117587307,0.141380116,390
0.012270093,0.004364336,-0.117213619,0.141753804,391
0.012578782,0.004364336,-0.116904929,0.142062494,392
0.012631747,0.004364336,-0.116851965,0.142115458,393
0.013245227,0.004364336,-0.116238485,0.142728938,394
0.01342302,0.004364336,-0.116060691,0.142906732,395
0.0135661,0.003273252,-0.098570084,0.125702283,396
0.014023501,0.004364336,-0.11546021,0.143507213,397
0.014760416,0.003273252,-0.097375768,0.126896599,398
0.014815086,0.003273252,-0.097321098,0.126951269,399
0.014815086,0.003273252,-0.097321098,0.126951269,400
0.014864023,0.003273252,-0.097272161,0.127000206,401
0.015037877,0.004364336,-0.114445834,0.144521589,402
0.015037877,0.004364336,-0.114445834,0.144521589,403
0.015178342,0.003273252,-0.096957842,0.127314525,404
0.015267472,0.003273252,-0.096868711,0.127403656,405
0.015480186,0.003273252,-0.096655998,0.127616369,406
0.015504187,0.027222633,-0.307881755,0.338890128,407
0.016474837,0.002881624,-0.088739461,0.121689135,408
0.016529302,0.014511249,-0.219577484,0.252636088,409
0.016694879,0.002182168,-0.074863932,0.108253689,410
0.016863806,0.003273252,-0.095272377,0.12899999,411
0.017699577,0.004364336,-0.111784134,0.147183289,412
0.017699577,0.004364336,-0.111784134,0.147183289,413
0.017804625,0.004364336,-0.111679087,0.147288336,414
0.017857617,0.020129717,-0.260225683,0.295940918,415
0.0179492,0.003273252,-0.094186984,0.130085383,416
0.018349139,0.00085425,-0.038936855,0.075635133,417
0.018462063,0.003273252,-0.093674121,0.130598246,418
0.018729523,0.004364336,-0.110754189,0.148213234,419
0.018797546,0.003273252,-0.093338638,0.130933729,420
0.01892801,0.004364336,-0.110555702,0.148411721,421
0.019100172,0.003273252,-0.093036012,0.131236355,422
0.019608471,0.004364336,-0.10987524,0.149092183,423
0.019802627,0.004364336,-0.109681084,0.149286339,424
0.020000667,0.004364336,-0.109483045,0.149484378,425
0.020305266,0.003273252,-0.091830917,0.13244145,426
0.020534602,0.003273252,-0.091601581,0.132670786,427
0.020619287,0.004364336,-0.108864424,0.150102999,428
0.020619288,0.007654688,-0.150863219,0.192101794,429
0.020717873,0.004364336,-0.108765839,0.150201584,430
