rr,var,min,max,sort
-1.734601055,0.010412662,-1.934604259,-1.534597852,1
-1.279838555,0.008592715,-1.461524474,-1.098152636,2
-1.189374005,0.011456953,-1.399166833,-0.979581177,3
-1.147701899,0.008592715,-1.329387818,-0.96601598,4
-1.131402111,0.008592715,-1.31308803,-0.949716193,5
-1.087312733,0.011144255,-1.294222788,-0.880402678,6
-1.04891262,0.010040569,-1.245309794,-0.852515446,7
-1.035948552,0.008592715,-1.217634471,-0.854262633,8
-1.006564754,0.104815757,-1.641119884,-0.372009625,9
-0.961411167,0.018904882,-1.230901416,-0.691920919,10
-0.924387942,0.008592715,-1.106073861,-0.742702023,11
-0.909150678,0.013526524,-1.137105706,-0.681195649,12
-0.843651548,0.008592715,-1.025337467,-0.661965629,13
-0.8305016,0.030753341,-1.174219557,-0.486783643,14
-0.783777773,0.221793134,-1.706838175,0.139282629,15
-0.771928058,0.009047809,-0.9583632,-0.585492917,16
-0.720546155,0.008592715,-0.902232074,-0.538860236,17
-0.676238565,0.017948576,-0.938824264,-0.413652866,18
-0.634306681,0.012397865,-0.852544258,-0.416069103,19
-0.617238217,0.008592715,-0.798924136,-0.435552299,20
-0.591364486,0.010909494,-0.79608359,-0.386645382,21
-0.581173509,0.000718281,-0.633702996,-0.528644021,22
-0.561520768,0.272417707,-1.584516303,0.461474767,23
-0.557345639,0.007404989,-0.726008037,-0.388683242,24
-0.543886486,0.011456953,-0.753679314,-0.334093658,25
-0.5331551,0.008592715,-0.714841019,-0.351469181,26
-0.532464799,0.000774417,-0.587008357,-0.477921241,27
-0.526889815,0.0269958,-0.848925629,-0.204854002,28
-0.526093096,0.009281761,-0.714923208,-0.337262983,29
-0.518488497,0.220227816,-1.438285854,0.401308861,30
-0.475622308,0.027128482,-0.798448539,-0.152796076,31
-0.471311674,0.003886275,-0.593498059,-0.349125289,32
-0.470003629,0.008592715,-0.651689548,-0.28831771,33
-0.452376709,0.062019209,-0.940488369,0.035734951,34
-0.451985124,0.008592715,-0.633671043,-0.270299205,35
-0.451419771,0.147729765,-1.204758119,0.301918576,36
-0.450524736,0.008592715,-0.632210655,-0.268838818,37
-0.447201291,0.003716248,-0.566684917,-0.327717666,38
-0.443388398,0.008592715,-0.625074317,-0.261702479,39
-0.431440595,0.014400539,-0.666644999,-0.196236191,40
-0.421516817,0.008592715,-0.603202736,-0.239830898,41
-0.421213465,0.008592715,-0.602899384,-0.239527546,42
-0.421213465,0.008592715,-0.602899384,-0.239527546,43
-0.41698155,0.008592715,-0.598667469,-0.235295631,44
-0.41660181,0.042756297,-0.821882688,-0.011320932,45
-0.4162179,0.008592715,-0.597903819,-0.234531981,46
-0.414433778,0.008592715,-0.596119697,-0.232747859,47
-0.41302788,0.008592715,-0.594713799,-0.231341962,48
-0.410580209,0.017070613,-0.66666314,-0.154497278,49
-0.401440958,0.003029226,-0.50931623,-0.293565686,50
-0.392042088,0.008592715,-0.573728007,-0.210356169,51
-0.390133797,0.005466225,-0.535044286,-0.245223309,52
-0.379394757,0.011456953,-0.589187585,-0.169601929,53
-0.371493609,0.008592715,-0.553179528,-0.18980769,54
-0.368453643,0.032383523,-0.721163925,-0.015743361,55
-0.365555582,0.008592715,-0.547241501,-0.183869663,56
-0.358212223,0.004744751,-0.493221244,-0.223203202,57
-0.352821375,0.004388884,-0.482668739,-0.22297401,58
-0.345501643,0.012398395,-0.563743882,-0.127259405,59
-0.337596464,0.007578505,-0.508223503,-0.166969425,60
-0.33332758,0.024227861,-0.638407486,-0.028247674,61
-0.330676463,0.008592715,-0.512362382,-0.148990544,62
-0.330241687,0.011456953,-0.540034515,-0.120448859,63
-0.330241687,0.008592715,-0.511927606,-0.148555768,64
-0.330241687,0.008592715,-0.511927606,-0.148555768,65
-0.32782124,0.013165165,-0.552710764,-0.102931716,66
-0.327328501,0.045086913,-0.743508613,0.088851612,67
-0.326902786,0.011456953,-0.536695614,-0.117109957,68
-0.322516025,0.011456953,-0.532308853,-0.112723197,69
-0.311313677,0.012070759,-0.526653007,-0.095974347,70
-0.311090163,0.008592715,-0.492776082,-0.129404245,71
-0.306639986,0.008592715,-0.488325905,-0.124954067,72
-0.305864392,0.008592715,-0.48755031,-0.124178473,73
-0.299922127,0.008592715,-0.481608046,-0.118236209,74
-0.299776778,0.033665337,-0.659399854,0.059846299,75
-0.299140166,0.008592715,-0.480826085,-0.117454247,76
-0.298549382,0.011456953,-0.50834221,-0.088756554,77
-0.295069969,0.008592715,-0.476755888,-0.11338405,78
-0.29323386,0.011456953,-0.503026688,-0.083441031,79
-0.287682072,0.008592715,-0.469367991,-0.105996154,80
-0.287083807,0.008592715,-0.468769726,-0.105397889,81
-0.285647484,0.009062771,-0.472236712,-0.099058256,82
-0.282798845,0.011456953,-0.492591674,-0.073006017,83
-0.282487256,0.002756743,-0.385396467,-0.179578044,84
-0.280301965,0.008592715,-0.461987884,-0.098616046,85
-0.264990661,0.024504813,-0.57180932,0.041827998,86
-0.264692554,0.011456953,-0.474485383,-0.054899726,87
-0.263814591,0.005054305,-0.403158116,-0.124471067,88
-0.255933374,0.008592715,-0.437619293,-0.074247455,89
-0.252453381,0.051065614,-0.69536834,0.190461578,90
-0.249992551,0.008592715,-0.43167847,-0.068306632,91
-0.249610125,0.008592715,-0.431296043,-0.067924206,92
-0.248179629,0.002891697,-0.35357765,-0.142781609,93
-0.246070444,0.008592715,-0.427756362,-0.064384525,94
-0.24529162,0.009189224,-0.43317808,-0.05740516,95
-0.245122458,0.008592715,-0.426808377,-0.063436539,96
-0.24406145,0.008592715,-0.425747369,-0.062375531,97
-0.243848225,0.017829919,-0.505564512,0.017868063,98
-0.243622083,0.010237444,-0.441935387,-0.045308779,99
-0.241162057,0.008592715,-0.422847976,-0.059476138,100
-0.240636709,0.008592715,-0.422322628,-0.05895079,101
-0.235072122,0.011456953,-0.44486495,-0.025279294,102
-0.234400706,0.06317571,-0.727042369,0.258240958,103
-0.23137405,0.021570964,-0.519240363,0.056492262,104
-0.229574442,0.007095009,-0.394668917,-0.064479966,105
-0.227932068,0.008592715,-0.409617987,-0.046246149,106
-0.227135573,0.066676988,-0.733244569,0.278973423,107
-0.219878969,0.044836851,-0.634903361,0.195145423,108
-0.218689201,0.008592715,-0.40037512,-0.037003282,109
-0.215388235,0.008592715,-0.397074153,-0.033702316,110
-0.214559808,0.021843097,-0.50423625,0.075116635,111
-0.214070255,0.005728477,-0.362416187,-0.065724324,112
-0.21224696,0.070185151,-0.731499573,0.307005653,113
-0.209857715,0.008592715,-0.391543633,-0.028171796,114
-0.209720531,0.008592715,-0.39140645,-0.028034612,115
-0.208151179,0.008592715,-0.389837098,-0.02646526,116
-0.20688303,0.039458392,-0.596220108,0.182454048,117
-0.206741833,0.002246395,-0.299638292,-0.113845374,118
-0.203827762,0.008592715,-0.385513681,-0.022141843,119
-0.20208103,0.011456953,-0.411873858,0.007711798,120
-0.196114879,0.011456953,-0.405907707,0.013677949,121
-0.191422075,0.008592715,-0.373107993,-0.009736156,122
-0.188967627,0.044554457,-0.60268299,0.224747737,123
-0.188900528,0.011027832,-0.39472696,0.016925904,124
-0.187994858,0.011456953,-0.397787686,0.021797971,125
-0.187211542,0.008292011,-0.365690077,-0.008733007,126
-0.184649847,0.011456953,-0.394442675,0.025142982,127
-0.181301669,0.007867092,-0.355147062,-0.007456276,128
-0.179675177,0.008592715,-0.361361096,0.002010741,129
-0.179585577,0.011456953,-0.389378405,0.030207251,130
-0.179406103,0.008592715,-0.361092022,0.002279816,131
-0.178212999,0.001117695,-0.243739613,-0.112686385,132
-0.177681177,0.008592715,-0.359367096,0.004004742,133
-0.177681177,0.008592715,-0.359367096,0.004004742,134
-0.177233016,0.008592715,-0.358918935,0.004452903,135
-0.173797677,0.005083413,-0.313541872,-0.034053482,136
-0.173663494,0.008592715,-0.355349413,0.008022425,137
-0.172617977,0.01341746,-0.399652145,0.054416192,138
-0.171108692,0.005728477,-0.319454624,-0.022762761,139
-0.169899037,0.008592715,-0.351584956,0.011786882,140
-0.167054085,0.003196751,-0.277872135,-0.056236034,141
-0.166611264,0.016480992,-0.418232766,0.085010238,142
-0.163645475,0.004370216,-0.293216388,-0.034074562,143
-0.162055859,0.014295371,-0.396399834,0.072288116,144
-0.160413464,0.041340835,-0.558929401,0.238102473,145
-0.151684496,0.011456953,-0.361477324,0.058108332,146
-0.150935243,0.005728477,-0.299281174,-0.002589311,147
-0.147876926,0.008592715,-0.329562845,0.033808992,148
-0.145953913,0.008592715,-0.327639831,0.035732006,149
-0.14562019,0.002130349,-0.236085373,-0.055155007,150
-0.144342309,0.002583356,-0.243962693,-0.044721924,151
-0.14359092,0.011453592,-0.353352971,0.066171132,152
-0.143100844,0.008592715,-0.324786762,0.038585075,153
-0.14242034,0.008592715,-0.324106259,0.039265579,154
-0.140451835,0.005462583,-0.285314045,0.004410374,155
-0.140419877,0.047876623,-0.569282135,0.288442381,156
-0.138069386,0.005467357,-0.282994881,0.006856108,157
-0.137096459,0.008592715,-0.318782378,0.04458946,158
-0.135272711,0.0140782,-0.36782983,0.097284409,159
-0.134656885,0.008592715,-0.316342804,0.047029034,160
-0.134387191,0.008592715,-0.316073109,0.047298728,161
-0.131852131,0.00307216,-0.240489181,-0.023215081,162
-0.131769278,0.008592715,-0.313455196,0.049916641,163
-0.13123518,0.008592715,-0.312921099,0.050450738,164
-0.131028262,0.008592715,-0.312714181,0.050657656,165
-0.131021748,0.022981858,-0.428153207,0.166109712,166
-0.130162496,0.008592715,-0.311848414,0.051523423,167
-0.128992121,0.000496424,-0.172662064,-0.085322177,168
-0.12899212,0.008592715,-0.310678039,0.052693799,169
-0.128891013,0.011456953,-0.338683841,0.080901815,170
-0.128542769,0.008592715,-0.310228688,0.053143149,171
-0.128539488,0.031812916,-0.47812853,0.221049555,172
-0.127994001,0.004172614,-0.25460172,-0.001386282,173
-0.12700963,0.011456953,-0.336802459,0.082783198,174
-0.124703479,0.005911314,-0.275398214,0.025991257,175
-0.124487081,0.008592715,-0.306173,0.057198838,176
-0.124102698,0.011456953,-0.333895526,0.085690131,177
-0.12382535,0.001693837,-0.20449161,-0.043159091,178
-0.122602322,0.008592715,-0.304288241,0.059083597,179
-0.12141879,0.004327743,-0.250358535,0.007520956,180
-0.12095261,0.008592715,-0.302638529,0.060733308,181
-0.120905111,0.011456953,-0.33069794,0.088887717,182
-0.120836473,0.011456953,-0.330629301,0.088956355,183
-0.119800695,0.011456953,-0.329593524,0.089992133,184
-0.118786212,0.011456953,-0.328579041,0.091006616,185
-0.117783036,0.008592715,-0.299468954,0.063902883,186
-0.117634679,0.011456953,-0.327427507,0.09215815,187
-0.116921338,0.007153515,-0.282695108,0.048852432,188
-0.116208862,0.011456953,-0.32600169,0.093583966,189
-0.113328685,0.008592715,-0.295014604,0.068357233,190
-0.112795494,0.008592715,-0.294481413,0.068890425,191
-0.111753649,0.008592715,-0.293439567,0.06993227,192
-0.111591065,0.001555625,-0.188896242,-0.034285889,193
-0.111382331,0.008592715,-0.29306825,0.070303588,194
-0.109199292,0.008592715,-0.290885211,0.072486627,195
-0.109199292,0.008592715,-0.290885211,0.072486627,196
-0.10779657,0.008592715,-0.289482489,0.073889348,197
-0.10718367,0.04298688,-0.51355591,0.29918857,198
-0.10697212,0.008592715,-0.288658038,0.074713799,199
-0.106609735,0.008592715,-0.288295654,0.075076184,200
-0.106294659,0.008864314,-0.290829616,0.078240298,201
-0.104160534,0.011456953,-0.313953362,0.105632294,202
-0.102936528,0.008592715,-0.284622446,0.078749391,203
-0.102654154,0.005301377,-0.24536284,0.040054531,204
-0.102654154,0.00757392,-0.273229561,0.067921253,205
-0.102278849,0.008592715,-0.283964768,0.07940707,206
-0.10047053,0.008592715,-0.282156449,0.081215388,207
-0.098981834,0.017003153,-0.354558263,0.156594596,208
-0.098154041,0.011456953,-0.307946869,0.111638787,209
-0.097045789,0.005694168,-0.24494682,0.050855242,210
-0.095881771,0.008961283,-0.28142332,0.089659777,211
-0.095815905,0.009275936,-0.284586755,0.092954945,212
-0.095766905,0.009662001,-0.288426043,0.096892232,213
-0.09531018,0.008592715,-0.276996099,0.086375739,214
-0.09531018,0.014102777,-0.3280702,0.137449841,215
-0.094943755,0.023195739,-0.393454643,0.203567133,216
-0.094081099,0.001603887,-0.172576263,-0.015585936,217
-0.093444701,0.008592715,-0.27513062,0.088241218,218
-0.093193777,0.011456953,-0.302986605,0.116599051,219
-0.092809925,0.017929105,-0.35525316,0.16963331,220
-0.092227424,0.011456953,-0.302020252,0.117565404,221
-0.092106208,0.001061533,-0.1559653,-0.028247116,222
-0.091691358,0.007054827,-0.256317668,0.072934952,223
-0.091368497,0.001567313,-0.168963541,-0.013773452,224
-0.090971778,0.008592715,-0.272657697,0.090714141,225
-0.090754363,0.008592715,-0.272440282,0.090931556,226
-0.090384061,0.008592715,-0.27206998,0.091301857,227
