ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,POC.ck (g/kg),POC.csd,POC.cn,POC.t,POC.tsd,POC.tn,rrPOC,varPOC,MAOC.ck (g/kg),MAOC.csd,MAOC.cn,MAOC.t,MAOC.tsd,MAOC.tn,rrMAOC,varMAOC
1,1,Bowles,2022,Soil Biology and Biochemistry,1,-85.377869,42.411245,cold,sandy,0-10,17,upland,0,no,conventional,rainfed,legume,1,incorporated,1.56E+00,7.40E-01,4,1.74E+00,7.40E-01,4,0.109199292,0.101471443,1.10E+01,8.00E-01,4,1.26E+01,1.00E+00,4,0.135801541,0.002897018
2,2,Patra,2022,Soil & Tillage Research,2,-88.83333333,35.61666667,temperate,loam,0-10,40,upland,67,no,conventional,rainfed,legume,1,incorporated,1.40E+00,2.91E-01,4,3.49E+00,8.71E-01,4,0.9134295,0.026372469,4.88,0.29883656,4,7.27,0.41076227,4,0.398611072,0.001735583
3,2,Patra,2022,Soil & Tillage Research,2,-88.83333333,35.61666667,temperate,loam,0-10,40,upland,67,no,conventional,rainfed,non-legume,1,incorporated,1.40E+00,2.91E-01,4,2.58,6.44E-01,4,0.611317162,0.026377736,4.88,0.29883656,4,7.71,0.43562271,4,0.457372968,0.001735583
4,2,Patra,2022,Soil & Tillage Research,2,-88.83333333,35.61666667,temperate,loam,0-10,40,upland,67,no,conventional,rainfed,legume,1,incorporated,4.60E-01,9.56E-02,4,7.00E-01,1.75E-01,4,0.419853846,0.026422921,5.04,0.30863448,4,4.98,0.28137498,4,-0.011976191,0.001735583
5,2,Patra,2022,Soil & Tillage Research,2,-88.83333333,35.61666667,temperate,loam,0-10,40,upland,67,no,conventional,rainfed,non-legume,1,incorporated,4.60E-01,9.56E-02,4,0.7,1.75E-01,4,0.419853846,0.026422921,5.04,0.30863448,4,7.23,0.40850223,4,0.360832954,0.001735583
6,2,Patra,2022,Soil & Tillage Research,2,-88.83333333,35.61666667,temperate,loam,10-30,40,upland,67,no,conventional,rainfed,legume,1,incorporated,0.17,3.53E-02,4,0.34,8.49E-02,4,0.693147181,0.026367582,3.11,0.19044707,4,3.78,0.21357378,4,0.195101283,0.001735583
7,2,Patra,2022,Soil & Tillage Research,2,-88.83333333,35.61666667,temperate,loam,10-30,40,upland,67,no,conventional,rainfed,non-legume,1,incorporated,0.17,3.53E-02,4,0.43,1.07E-01,4,0.927986772,0.026259314,3.11,0.19044707,4,3.71,0.20961871,4,0.17640915,0.001735583
8,2,Patra,2022,Soil & Tillage Research,2,-88.83333333,35.61666667,temperate,clay loam,30-60,40,upland,67,no,conventional,rainfed,legume,1,incorporated,0.05,1.04E-02,4,0.04,9.99E-03,4,-0.223143551,0.026409766,1.75,0.10716475,4,2.39,0.13503739,4,0.311677578,0.001735583
9,2,Patra,2022,Soil & Tillage Research,2,-88.83333333,35.61666667,temperate,clay loam,30-60,40,upland,67,no,conventional,rainfed,non-legume,1,incorporated,0.05,1.04E-02,4,0.18,4.49E-02,4,1.280933845,0.026371633,1.75,0.10716475,4,2.48,0.14012248,4,0.348642772,0.001735583
10,3,Hashimi,2023,Soil & Tillage Research,3,140.2,36.03333333,temperate,loam,0-10,20,upland,0,no,no-tillage,rainfed,non-legume,1,surface,,,,,,,,,8.30E+00,1.43E+00,4,7.50E+00,1.16E+00,4,-0.101352494,0.013401333
