control,type,driver,estimate,p.value,sig,value,color
Control factor: Soil+Microbe,Yield,MAT,0.019585056,0.508865336,,0.019585056,1
Control factor: Soil+Microbe,Yield,MAP,0.06433376,0.029853771,*,0.06433376,1
Control factor: Soil+Microbe,Yield,AI,0.060145596,0.04232001,*,0.060145596,1
Control factor: Climate+Microbe,Yield,BD,0.150255599,3.34E-07,***,0.150255599,2
Control factor: Climate+Microbe,Yield,sand,0.012285668,0.678201541,,0.012285668,2
Control factor: Climate+Microbe,Yield,clay,-0.062536901,0.034513447,*,0.062536901,2
Control factor: Climate+Microbe,Yield,SOC,-0.088260554,0.002821883,**,0.088260554,2
Control factor: Climate+Microbe,Yield,CN,0.146469503,6.58E-07,***,0.146469503,2
Control factor: Climate+Microbe,Yield,pH,-0.026398883,0.372564613,,0.026398883,2
Control factor: Climate+Soil,Yield,biodiversity,0.113325481,0.000125836,***,0.113325481,3
Control factor: Climate+Soil,Yield,MBC,0.002346417,0.936923375,,0.002346417,3
Control factor: Climate+Soil,Yield,FB,-0.086925669,0.003310945,***,0.086925669,3
Control factor: Soil+Microbe,SOC,MAT,0.085650363,0.004546671,**,0.085650363,1
Control factor: Soil+Microbe,SOC,MAP,0.082867791,0.006051019,**,0.082867791,1
Control factor: Soil+Microbe,SOC,AI,0.051090692,0.090917633,,0.051090692,1
Control factor: Climate+Microbe,SOC,BD,0.095591721,0.001510604,**,0.095591721,2
Control factor: Climate+Microbe,SOC,sand,0.023432136,0.437734068,,0.023432136,2
Control factor: Climate+Microbe,SOC,clay,-0.11826059,8.50E-05,***,0.11826059,2
Control factor: Climate+Microbe,SOC,SOC,-0.027499945,0.362405975,,0.027499945,2
Control factor: Climate+Microbe,SOC,CN,0.083177924,0.005796262,*,0.083177924,2
Control factor: Climate+Microbe,SOC,pH,0.003765235,0.900776636,,0.003765235,2
Control factor: Climate+Soil,SOC,biodiversity,-0.05654692,0.061290013,,0.05654692,3
Control factor: Climate+Soil,SOC,MBC,0.08832904,0.003426932,**,0.08832904,3
