type,variable,CI1,CI2,mean,n,shape
Overall,POC,27.13397505,42.33700298,34.5208868,66,a
Overall,MAOC,2.85537142,9.055923254,5.910280388,64,a
Overall,POC.MAOC,16.10800693,33.76357351,24.62352073,48,a
Legume,POC,2.164680597,93.01195501,40.42437372,13,a
Mixture,POC,-12.50651745,29.80749892,6.570681437,17,b
Non-legume,POC,25.57111532,53.02174117,38.61857995,36,a
Legume,MAOC,-3.736734785,19.19100373,7.115429345,16,b
Mixture,MAOC,2.955104628,11.02397076,6.913444085,17,a
Non-legume,MAOC,-0.366047611,11.14341323,5.231447497,31,b
Legume,POC.MAOC,7.648846054,33.68313668,19.96180809,12,a
Mixture,POC.MAOC,1.934996092,25.99075293,13.3263734,17,a
Non-legume,POC.MAOC,20.20443346,59.14533872,38.31115385,19,a
Arid,POC,16.87639782,39.24050628,27.56930981,6,a
Cold,POC,21.24185007,44.98578371,32.58334983,23,a
Temperate,POC,26.42887586,53.91651368,39.49728242,37,a
Arid,MAOC,1.554015,10.625286,5.99265,6,a
Cold,MAOC,1.234662,9.452717,5.263521,15,a
Temperate,MAOC,1.081089,13.064835,6.905176,43,a
Arid,POC.MAOC,12.48756803,25.8282138,18.97104588,6,a
Cold,POC.MAOC,18.42144109,48.9415015,32.80763248,15,a
Temperate,POC.MAOC,8.840053306,31.57793872,19.67017115,27,a
Clay,POC,-3.513558677,18.5116287,6.93346206,6,b
Clay loam,POC,11.21556799,51.33983818,29.73567768,32,a
Loam,POC,41.13605582,77.51901099,58.28560593,27,a
Clay,MAOC,-16.4331621,15.33706,-1.824882,6,b
Clay loam,MAOC,3.6483741,13.44304,8.435174,21,a
Loam,MAOC,0.8667207,10.87782,5.753874,36,a
Clay,POC.MAOC,-14.02082154,34.63611429,7.591368134,6,b
Clay loam,POC.MAOC,-8.169830254,41.80682989,14.11461458,21,b
Loam,POC.MAOC,16.86733585,66.16946192,39.35487905,20,a
