POC.ck,POC.csd,POC.cn,POC.t,POC.tsd,POC.tn
1.56E+00,7.40E-01,4,1.74E+00,7.40E-01,4
1.40E+00,2.91E-01,4,3.49E+00,8.71E-01,4
1.40E+00,2.91E-01,4,2.58,6.44E-01,4
4.60E-01,9.56E-02,4,7.00E-01,1.75E-01,4
4.60E-01,9.56E-02,4,0.7,1.75E-01,4
0.17,3.53E-02,4,0.34,8.49E-02,4
0.17,3.53E-02,4,0.43,1.07E-01,4
0.05,1.04E-02,4,0.04,9.99E-03,4
0.05,1.04E-02,4,0.18,4.49E-02,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3.216,1.053086891,3,4.48,0.443405007,3
1.333333333,0.267890525,3,1.44,0.249415316,3
2.72,0.415692194,3,4.944,2.383301911,3
0.634666667,0.304840942,3,0.656,0.19398969,3
3.6,2.632717228,3,3.04,2.189312221,3
1.376,1.718194401,3,2.736,1.829045653,3
0.416,0.138564065,3,1.872,2.327876285,3
3.888,0.563493863,3,4.602666667,2.992983795,3
,,,,,
,,,,,
,,,,,
4.8,9.98E-01,3,4.48,1.12E+00,3
4.8,9.98E-01,3,5.44,1.36E+00,3
3.04,6.32E-01,3,3.2,7.99E-01,3
3.04,6.32E-01,3,3.68,9.19E-01,3
2.8,5.82E-01,3,2.56,6.39E-01,3
2.8,5.82E-01,3,3.12,7.79E-01,3
3.47E+00,5.72E-01,4,5.59E+00,1.22E+00,4
3.47E+00,5.72E-01,4,4.88E+00,9.40E-01,4
3.47E+00,5.72E-01,4,6.06E+00,1.04E+00,4
3.47E+00,5.72E-01,4,5.27E+00,1.78E+00,4
,,,,,
,,,,,
,,,,,
2.40E+00,4.99E-01,3,3.2,7.99E-01,3
2.40E+00,4.99E-01,3,3.8,9.49E-01,3
8.00E-01,1.66E-01,3,0.7,1.75E-01,3
8.00E-01,1.66E-01,3,1,2.50E-01,3
5.00E-01,1.04E-01,3,0.5,1.25E-01,3
5.00E-01,1.04E-01,3,0.7,1.75E-01,3
4.00E-01,8.32E-02,3,0.4,9.99E-02,3
4.00E-01,8.32E-02,3,0.5,1.25E-01,3
4.00E-01,8.32E-02,3,0.4,9.99E-02,3
4.00E-01,8.32E-02,3,0.5,1.25E-01,3
3.00E-01,6.24E-02,3,0.3,7.49E-02,3
3.00E-01,6.24E-02,3,0.2,4.99E-02,3
4.85E+00,1.01E+00,3,6.50E+00,1.62E+00,3
3.03E+00,6.30E-01,3,2.96E+00,7.40E-01,3
1.64E+00,3.41E-01,3,1.95E+00,4.88E-01,3
1.58E+00,3.28E-01,3,1.70E+00,4.24E-01,3
6.55E+00,1.36E+00,3,1.43E+01,3.56E+00,3
2.02E+00,4.20E-01,3,2.65E+00,6.62E-01,3
1.58E+00,3.28E-01,3,1.70E+00,4.24E-01,3
8.18E-01,1.70E-01,3,9.45E-01,2.36E-01,3
1.744,3.63E-01,3,3.984,9.95E-01,3
1.744,3.63E-01,3,4.752,1.19E+00,3
6.21474,0.70554,3,9.36138,0.44067,3
5,1.04E+00,4,5,1.25E+00,4
6,1.25E+00,4,8,2.00E+00,4
2,4.16E-01,4,5,1.25E+00,4
2,4.16E-01,4,4,9.99E-01,4
2.98E+00,1.56E-01,3,3.60E+00,3.46E-01,3
2.98E+00,1.56E-01,3,3.65E+00,1.73E-01,3
2.98E+00,1.56E-01,3,3.89E+00,3.46E-01,3
3.23E+00,2.77E-01,3,4.03E+00,1.73E-01,3
3.23E+00,2.77E-01,3,3.68E+00,3.46E-01,3
3.23E+00,2.77E-01,3,3.76E+00,3.98E-01,3
1.58E+00,2.56E-01,4,2.00E+00,4.80E-01,4
1.58E+00,2.56E-01,4,2.20E+00,3.52E-01,4
1.58E+00,2.56E-01,4,2.20E+00,1.92E-01,4
8.64E-01,1.92E-01,4,9.04E-01,2.72E-01,4
8.64E-01,1.92E-01,4,1.06E+00,1.44E-01,4
8.64E-01,1.92E-01,4,1.10E+00,1.60E-01,4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
