"","cellulase.ck","cellulase.csd","cellulase.cn","cellulase.t","cellulase.tsd","cellulase.tn","yi","vi"
"1",16.1,3.676955262,8,21.7,3.959797975,8,0.298492988555996,0.010682141097959
"2",59,1.528361633,3,68.5294,1.42634384,3,0.149725406364031,0.000368081954668705
"3",80.8,24.6,4,96.7,18.6,4,0.179636436932199,0.0324226665371829
"4",80.8,24.6,4,69,6.4,4,-0.15787046092979,0.0253240882340775
"5",57.6,13.8,4,80.8,5,4,0.338454397825204,0.0153073637635267
"6",57.6,13.8,4,51.8,11.6,4,-0.106132418436408,0.0268871254379293
"7",109,14,4,88.6,18,4,-0.207216024618108,0.0144427558830516
"8",109,14,4,81.2,20.4,4,-0.294432635061511,0.0199035520184512
"9",49.4,8.2,4,72.2,9.8,4,0.379489621704904,0.011494262528543
"10",49.4,8.2,4,64.5,10.6,4,0.26671479960785,0.0136403260286523
"11",74.3,15.4,4,79.6,18,4,0.0689031411266238,0.0235237567470914
"12",74.3,15.4,4,84.5,26.2,4,0.128640582639415,0.0347741611333795
"13",63.3,10.6,4,67.3,8.2,4,0.0612749075005515,0.0107218230189811
"14",63.3,10.6,4,64.9,9.8,4,0.024962294559914,0.0127107908771367
"15",78,32.6,4,82.4,26.2,4,0.0548766102258343,0.0689451083285011
"16",78,32.6,4,68.2,9,4,-0.134264261840175,0.0480239604376939
"17",51,3.4,4,58,12.2,4,0.128617377822094,0.0121723477341789
"18",51,3.4,4,66.9,14.8,4,0.271373334409857,0.0133463148040155
"19",14.5,2.97,4,32.2,4.9307538,4,0.797817803123834,0.0163507076780859
"20",14.5,2.97,4,20.2,3.0932058,4,0.33153395498063,0.0163507076780859
"21",53.4,10.9,4,79.9,12.2350071,4,0.40296510680608,0.016278350970368
"22",53.4,10.9,4,80.7,12.3575103,4,0.412927829309754,0.016278350970368
"23",52.5,10.8,4,56.5,8.6517885,4,0.0734274685548171,0.0164417144969847
"24",52.5,10.8,4,64.9,9.9380721,4,0.212034454112466,0.0164417144969847
"25",135,27.7,3,173,26.491317,3,0.248016816059349,0.0218498169534929
"26",135,27.7,3,142,21.744318,3,0.0505522791628312,0.0218498169534929
"27",135,27.7,3,223,34.147767,3,0.501896993021689,0.0218498169534929
"28",135,27.7,3,177,27.103833,3,0.2708749541354,0.0218498169534929
"29",219,44.9,3,262,40.119798,3,0.179272773944596,0.0218276172976168
"30",219,44.9,3,181,27.716349,3,-0.190574698550675,0.0218276172976168
"31",219,44.9,3,258,39.507282,3,0.163887855105117,0.0218276172976168
"32",219,44.9,3,288,44.101152,3,0.273888750319445,0.0218276172976168
"33",146,29.9,3,162,24.806898,3,0.103989713524048,0.0217964287624876
"34",146,29.9,3,158,24.194382,3,0.0789884113186305,0.0217964287624876
"35",146,29.9,3,227,34.760283,3,0.441343395773066,0.0217964287624876
"36",146,29.9,3,165,25.266285,3,0.122338852192244,0.0217964287624876
"37",162,33.2,3,154,23.581866,3,-0.0506437328187549,0.0218160619364732
