ID,number,author1,year,journal,study,longitude,latitude,climate.zone,soil.texture,soil.layer,experimental.duration (yr),cropland.type,Nrate (kg N/ha),OF,tillage,irrigation2,CC.type,CC.diversity,residue.management,species,unit,cellulase.ck (nmol h-1 g-1 soil),cellulase.csd,cellulase.cn,cellulase.t,cellulase.tsd,cellulase.tn,rrcellulase,varcellulase
1,1,Bowles,2022,Soil Biology and Biochemistry,1,-85.377869,42.411245,cold,sandy,0-10,17,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,nmol h-1 g-1 soil,16.1,3.676955262,8,21.7,3.959797975,8,0.298492989,0.010682141
2,2,Borase,2020,Ecological Indicators,2,80.23333333,26.45,temperate,clay loam,0-10,13,upland,120,yes,conventional,intermittent,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,59,1.528361633,3,68.5294,1.42634384,3,0.149725406,0.000368082
3,3,Mbuthia,2015,Soil Biology and Biochemistry,3,-88.84655944,35.62290505,temperate,loam,0-10,32,upland,0,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,8.08E+01,2.46E+01,4,9.67E+01,1.86E+01,4,0.179636437,0.032422667
4,3,Mbuthia,2015,Soil Biology and Biochemistry,3,-88.84655944,35.62290505,temperate,loam,0-10,32,upland,0,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,8.08E+01,2.46E+01,4,6.90E+01,6.40E+00,4,-0.157870461,0.025324088
5,3,Mbuthia,2015,Soil Biology and Biochemistry,3,-88.84655944,35.62290505,temperate,loam,0-10,32,upland,0,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,5.76E+01,1.38E+01,4,8.08E+01,5.00E+00,4,0.338454398,0.015307364
6,3,Mbuthia,2015,Soil Biology and Biochemistry,3,-88.84655944,35.62290505,temperate,loam,0-10,32,upland,0,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,5.76E+01,1.38E+01,4,5.18E+01,1.16E+01,4,-0.106132418,0.026887125
7,3,Mbuthia,2015,Soil Biology and Biochemistry,3,-88.84655944,35.62290505,temperate,loam,0-10,32,upland,34,no,no-tillage,rainfed,legume,1,surface,BG,ug PNP h-1 g-1 soil,1.09E+02,1.40E+01,4,8.86E+01,1.80E+01,4,-0.207216025,0.014442756
8,3,Mbuthia,2015,Soil Biology and Biochemistry,3,-88.84655944,35.62290505,temperate,loam,0-10,32,upland,34,no,no-tillage,rainfed,non-legume,1,surface,BG,ug PNP h-1 g-1 soil,1.09E+02,1.40E+01,4,8.12E+01,2.04E+01,4,-0.294432635,0.019903552
9,3,Mbuthia,2015,Soil Biology and Biochemistry,3,-88.84655944,35.62290505,temperate,loam,0-10,32,upland,34,no,conventional,rainfed,legume,1,incorporated,BG,ug PNP h-1 g-1 soil,4.94E+01,8.20E+00,4,7.22E+01,9.80E+00,4,0.379489622,0.011494263
10,3,Mbuthia,2015,Soil Biology and Biochemistry,3,-88.84655944,35.62290505,temperate,loam,0-10,32,upland,34,no,conventional,rainfed,non-legume,1,incorporated,BG,ug PNP h-1 g-1 soil,4.94E+01,8.20E+00,4,6.45E+01,1.06E+01,4,0.2667148,0.013640326
